ID,Description,geneSet,geneCount
GO:0001782,B cell homeostasis,ABL1/ADA/BAK1/BAX/BCL2/CAMLG/CASP3/CD74/NCKAP1L/HIF1A/LYN/MEF2C/MIF/PKN1/SOS1/SOS2/TNFAIP3/BCL10/BCL2L11/TNFSF13B/TRAF3IP2/TNFRSF13B/FOXP3/RC3H2/PPP2R3C/DOCK10/SPNS2/DOCK11/RC3H1/GAPT/MIR17HG,31
GO:0001787,natural killer cell proliferation,ELF4/FCGR3A/HLA-E/IL12B/IL15/IL18/JAK2/LEP/SLAMF1/STAT5B/TYK2/PTPN22/IL23A/IL23R,14
GO:0001788,antibody-dependent cellular cytotoxicity,FCGR1A/FCGR2B/FCGR3A/HLA-E/IGHG1,5
GO:0001806,type IV hypersensitivity,FUT7/GATA3/ZP3/IL20RB,4
GO:0001865,NK T cell differentiation,PRDM1/ATF2/ITK/TGFBR2/ZBTB16/AP3B1/AP3D1/TOX/ZBTB7B/ZNF683,10
GO:0001866,NK T cell proliferation,ELF4/IL12B/IL15/IL18/JAK2/TYK2/ZBTB7B/IL23A/RASAL3,9
GO:0001867,"complement activation, lectin pathway",A2M/SERPING1/FCN1/FCN2/KRT1/MBL2/MFAP4/MASP1/FCN3/COLEC10/MASP2/COLEC11,12
GO:0001909,leukocyte mediated cytotoxicity,AP1G1/AGER/ARG1/ARRB2/AZGP1/AZU1/B2M/CEACAM1/CD1A/CD1B/CD1C/CD1D/CD1E/CEBPG/CTSC/LYST/CRK/CTSG/CTSH/CX3CR1/DNASE1/DNASE1L3/ELANE/EMP2/F2/F2RL1/FCGR1A/FCGR2B/FCGR3A/GFER/GZMB/GZMM/NCKAP1L/HLA-A/HLA-B/HLA-DRA/HLA-DRB1/HLA-E/HLA-F/HLA-G/HLA-H/MR1/HPRT1/ICAM1/IGHG1/IL7R/IL12A/IL12B/IL12RB1/IL18/ITGAM/KIF5B/KIR2DL4/KIR3DL1/KLRC1/KLRC2/KLRC3/KLRD1/LAG3/LAMP1/LEP/LGALS9/SH2D1A/MYD88/NKG7/NOS2/P2RX7/PRDX1/SERPINB9/PPP3CB/PRF1/PTPN6/PTPRC/PVR/NECTIN2/RAB27A/SERPINB4/SCNN1B/CXCL6/XCL1/SPI1/STAT5B/STXBP2/VAMP7/TRA/TRB/TYROBP/VAV1/KLRC4/STX7/FADD/SLC22A13/NCR1/RASGRP1/TUBB4B/CD226/LILRB1/RIPK3/CD160/CORO1A/TUSC2/KLRK1/PLEKHM2/CADM1/STAP1/IL23A/CYRIB/TREM1/ARL8B/CRTAM/SLAMF7/IL21/ULBP3/ULBP2/ULBP1/HAVCR2/SLAMF6/RNF19B/RAET1E/PIK3R6/IL23R/NLRP6/UNC13D/TUBB/NCR3/RAET1G/CLEC2A/CLEC12B/KLRF2/MICA/KLRC4-KLRK1,131
GO:0001913,T cell mediated cytotoxicity,AGER/AZGP1/B2M/CEACAM1/CD1A/CD1B/CD1C/CD1D/CD1E/CTSC/CTSH/EMP2/FCGR2B/GZMM/NCKAP1L/HLA-A/HLA-B/HLA-DRA/HLA-DRB1/HLA-E/HLA-F/HLA-G/HLA-H/MR1/HPRT1/IL7R/IL12A/IL12B/IL12RB1/KLRC1/KLRD1/P2RX7/PPP3CB/PRF1/PTPRC/PVR/NECTIN2/RAB27A/XCL1/TRA/TRB/STX7/FADD/SLC22A13/LILRB1/RIPK3/IL23A/CYRIB/IL23R/MICA,50
GO:0001922,B-1 B cell homeostasis,ABL1/HIF1A/TNFAIP3,3
GO:0001923,B-1 B cell differentiation,CD19/MALT1/PLCL2/SLAMF8/CMTM7,5
GO:0002204,somatic recombination of immunoglobulin genes involved in immune response,BCL6/CD28/CD40/CD40LG/CCR6/ERCC1/MSH6/HSPD1/IL2/IL4/IL10/LIG4/MLH1/MSH2/NBN/PTPRC/STAT6/SUPT6H/TFRC/TGFB1/TP53BP1/TNFSF4/UNG/NSD2/TNFSF13/RNF8/EXO1/IL27RA/THOC1/PARP3/MAD2L2/BATF/PAXIP1/SWAP70/CLCF1/TBX21/FOXP3/EXOSC3/KMT5B/SHLD2/RIF1/HMCES/AICDA/ATAD5/NDFIP1/KMT5C/EXOSC6/SLC15A4/SHLD1/RNF168/APLF/SHLD3,52
GO:0002208,somatic diversification of immunoglobulins involved in immune response,BCL6/CD28/CD40/CD40LG/CCR6/ERCC1/MSH6/HSPD1/IL2/IL4/IL10/LIG4/MLH1/MSH2/NBN/PTPRC/STAT6/SUPT6H/TFRC/TGFB1/TP53BP1/TNFSF4/UNG/NSD2/TNFSF13/RNF8/EXO1/IL27RA/THOC1/PARP3/MAD2L2/BATF/PAXIP1/SWAP70/CLCF1/TBX21/FOXP3/EXOSC3/KMT5B/SHLD2/RIF1/HMCES/AICDA/ATAD5/NDFIP1/KMT5C/EXOSC6/SLC15A4/SHLD1/RNF168/APLF/SHLD3,52
GO:0002218,activation of innate immune response,CASP6/CREBBP/EP300/FCN1/FYN/XRCC6/FFAR2/HCK/HMGB1/HSP90AA1/IFI16/IKBKB/KLRC2/KLRC3/KLRD1/LYN/MBL2/MNDA/NONO/PAK1/PAK2/PAK3/PLCG2/PRKDC/SFPQ/SRC/SYK/MAP3K7/TLR4/TRAF6/TYROBP/XRCC5/KLRC4/AIM2/MATR3/TOMM70/PQBP1/RBM14/HEXIM1/LILRA2/KLRK1/SIN3A/PYCARD/TBK1/PSPC1/ZNFX1/MAVS/NLRC4/CLEC7A/ZBP1/TRIM5/ZCCHC3/CLEC6A/CGAS/PYHIN1/STING1/KIR2DS2/KLRC4-KLRK1/PYDC5,59
GO:0002220,innate immune response activating cell surface receptor signaling pathway,CREBBP/EP300/FCN1/FYN/FFAR2/IKBKB/KLRC2/KLRC3/KLRD1/LYN/MBL2/PAK1/PAK2/PAK3/PLCG2/SRC/SYK/MAP3K7/TRAF6/TYROBP/KLRC4/LILRA2/KLRK1/CLEC7A/CLEC6A/KIR2DS2/KLRC4-KLRK1,27
GO:0002221,pattern recognition receptor signaling pathway,BIRC2/BIRC3/XIAP/ARRB2/BTK/C1QBP/CAV1/CD14/CD36/CD40/CTSS/CYBA/CYLD/DDX3X/ESR1/F2RL1/FCN1/GFI1/FFAR2/GPS2/HMGB1/HSPA1A/HSPA1B/HSPD1/IFI35/IRAK1/IRAK2/IRF1/IRF3/IRF4/IRF7/LBP/LTF/LYN/MBL2/MYD88/NFKBIA/NFKBIL1/NINJ1/OAS1/OAS3/PDPK1/PHB1/PLCG2/PRKCE/MAP2K6/PTPRS/RELA/RPS6KA3/SEC14L1/SLC15A2/MAP3K7/TLR1/TLR2/TLR3/TLR4/TLR5/TSPAN6/TNF/TNFAIP3/TRAF3/TRAF6/TYRO3/UFD1/MAPKAPK3/AP3B1/OASL/RIPK2/RIOK3/BCL10/NMI/MFHAS1/MAPKAPK2/NR1D1/LRRC14/PUM1/TRIL/PJA2/USP15/NR1H4/NR1H3/FLOT1/TNIP1/TLR6/NOD1/LILRA2/IRAK3/CD300A/PHB2/RAB11FIP2/SARM1/GRAMD4/RFTN1/PUM2/LILRA4/DDX58/LY96/ZDHHC5/TKFC/ANKRD17/APPL1/LSM14A/PTPN22/CLEC4E/SMPDL3B/UBQLN1/NOP53/IRAK4/TLR7/SLC15A3/TLR8/TLR9/TREM2/OTUD4/RNF125/APPL2/LGR4/DDX60/NPLOC4/INAVA/ERBIN/GPR108/RTN4/PELI1/S100A14/WDFY1/EPG5/SLC46A2/CACTIN/GPATCH3/NOD2/IFIH1/CLEC7A/LRRC19/DHX58/TNIP2/NLRX1/TNIP3/ALPK1/TASL/COLEC12/CLPB/UNC93B1/TLR10/ITCH/RNF135/HAVCR2/ZCCHC3/TRIM15/OTULIN/RSAD2/TIFA/BPIFB1/TIRAP/FCRL3/PIK3AP1/SLC15A4/REG3G/LACC1/CD300LF/TICAM1/DAB2IP/NLRP6/TREML4/NLRP2B/RAB7B/IRGM/TICAM2/USP17L2/SCIMP/MIR140/MIR146A/MIR17/MIR19A/ACOD1/MIR708,176
GO:0002222,stimulatory killer cell immunoglobulin-like receptor signaling pathway,TYROBP/KIR2DS2,2
GO:0002223,stimulatory C-type lectin receptor signaling pathway,CREBBP/EP300/FYN/IKBKB/KLRC2/KLRC3/KLRD1/LYN/PAK1/PAK2/PAK3/PLCG2/SRC/SYK/MAP3K7/TRAF6/TYROBP/KLRC4/KLRK1/CLEC7A/CLEC6A/KLRC4-KLRK1,22
GO:0002224,toll-like receptor signaling pathway,BIRC2/BIRC3/ARRB2/BTK/CAV1/CD14/CD36/CD40/CTSS/CYBA/DDX3X/ESR1/F2RL1/GFI1/GPS2/HMGB1/HSPD1/IFI35/IRAK1/IRAK2/IRF1/IRF3/IRF4/IRF7/LBP/LTF/LYN/MYD88/NFKBIA/NFKBIL1/NINJ1/OAS1/PDPK1/PLCG2/PRKCE/PTPRS/RPS6KA3/MAP3K7/TLR1/TLR2/TLR3/TLR4/TLR5/TNF/TNFAIP3/TRAF3/TRAF6/TYRO3/MAPKAPK3/AP3B1/RIPK2/BCL10/NMI/MFHAS1/MAPKAPK2/NR1D1/LRRC14/TRIL/PJA2/NR1H4/NR1H3/FLOT1/TNIP1/TLR6/LILRA2/IRAK3/CD300A/RAB11FIP2/SARM1/GRAMD4/RFTN1/LILRA4/LY96/APPL1/PTPN22/SMPDL3B/UBQLN1/IRAK4/TLR7/TLR8/TLR9/TREM2/OTUD4/APPL2/LGR4/GPR108/RTN4/PELI1/S100A14/WDFY1/EPG5/CACTIN/NOD2/LRRC19/TNIP2/TNIP3/TASL/COLEC12/UNC93B1/TLR10/HAVCR2/RSAD2/BPIFB1/TIRAP/FCRL3/PIK3AP1/SLC15A4/REG3G/CD300LF/TICAM1/DAB2IP/NLRP6/TREML4/NLRP2B/RAB7B/TICAM2/SCIMP/MIR140/MIR146A/MIR17/MIR19A/ACOD1/MIR708,123
GO:0002227,innate immune response in mucosa,APOA4/CAMP/DEFA1/DEFA3/DEFA4/DEFA5/DEFA6/DEFB1/IL4/LTF/NOS2/PLA2G1B/RNASE2/RNASE3/RPL39/H2BC8/H2BC7/H2BC6/H2BC10/H2BC4/H2BC21/H2BC11/H2BC12L/NOD2/H2BC12/BPIFB1/DEFA1B,27
GO:0002228,natural killer cell mediated immunity,AP1G1/ARRB2/CEACAM1/CEBPG/LYST/CRK/FCGR3A/GFER/GZMB/HLA-A/HLA-B/HLA-E/HLA-F/HLA-G/IL12A/IL12B/IL18/KIF5B/KIR2DL4/KIR3DL1/KLRC1/KLRC2/KLRC3/KLRD1/LAG3/LAMP1/LEP/LGALS9/SH2D1A/NKG7/PRDX1/SERPINB9/PTPN6/PVR/NECTIN2/RAB27A/SERPINB4/STAT5B/VAMP7/VAV1/KLRC4/NCR1/RASGRP1/CD96/TUBB4B/CD226/LILRB1/CD160/CORO1A/KLRK1/PLEKHM2/CADM1/ARL8B/CRTAM/SLAMF7/IL21/ULBP3/ULBP2/ULBP1/HAVCR2/SLAMF6/CLNK/SH2D1B/RNF19B/RAET1E/PIK3R6/UNC13D/TUBB/NCR3/RAET1G/CLEC2A/CLEC12B/KLRF2/MICA/KLRC4-KLRK1,75
GO:0002232,leukocyte chemotaxis involved in inflammatory response,ALOX5/FFAR2/LBP/MDK/NINJ1/PTN/SLAMF1/SLAMF8,8
GO:0002250,adaptive immune response,ADA/ADCY7/AGER/JAG1/AHR/ALCAM/ALOX15/ANXA1/APCS/AIRE/ARG1/ARG2/AZGP1/B2M/BCL3/BCL6/TNFRSF17/CEACAM1/PRDM1/BMX/BTK/C1QBP/SERPING1/C1QA/C1QB/C1QC/C1R/C1S/C2/C3/C4A/C4B/C4BPA/C4BPB/C5/C6/C7/C8A/C8B/C8G/C9/CAMK4/CD1A/CD1B/CD1C/CD1D/CD1E/CD4/CD6/CD7/CD8A/CD8B2/CD19/CD27/CD28/CD80/CD86/CD40/CD40LG/CD48/CD70/CD74/CD79A/CD79B/CD81/CTSC/CLC/CLU/CCR6/CR1/CR1L/CR2/CRP/CSF2RB/CSK/CTLA4/CTSH/CTSL/CTSS/CX3CR1/CD55/GPR183/EMP2/ADGRE1/EPHB2/ERCC1/PTK2B/FCER1G/FCER2/FCGR1A/FCGR1BP/FCGR2B/FCGR3A/FGA/FGB/FGL1/FOXJ1/MTOR/FUT7/FYN/GATA3/GNL1/MSH6/GZMM/NCKAP1L/HFE/HLA-A/HLA-B/HLA-C/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DOB/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB3/HLA-DRB4/HLA-DRB5/HLA-E/HLA-F/HLA-G/HLA-H/MR1/HLX/HMGB1/HPRT1/HPX/HRAS/HSPD1/ICAM1/CFI/IFNA1/IFNA2/IFNA4/IFNA5/IFNA6/IFNA7/IFNA8/IFNA10/IFNA13/IFNA14/IFNA16/IFNA17/IFNA21/IFNB1/IFNG/IFNW1/IGHA1/IGHA2/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/JCHAIN/IGKC/IGLC1/IGLC2/IGLC3/IGLC6/IGLL1/IL1B/IL1R1/IL2/IL4/IL4R/IL6/IL6R/IL6ST/IL7R/IL9/IL9R/IL10/IL12A/IL12B/IL12RB1/IL13RA2/IL17A/IL18/INPP5D/IRF1/IRF4/IRF7/ITK/JAK2/JAK3/KLRC1/KLRC2/KLRD1/LAG3/LAIR1/LIG4/LTA/LY9/LYN/SH2D1A/SMAD7/MBL2/CD46/MEF2C/MICB/MLH1/MSH2/MYD88/NBN/NFKB2/NOTCH1/P2RX7/PDCD1/PHB1/PIK3CD/PIK3CG/PLA2G4A/PPP3CB/PRF1/PRKCB/PRKCD/PKN1/PRKCQ/PRKCZ/PSG9/PTPN6/PTPRC/PVR/NECTIN2/RAB27A/RAG1/RAP1GAP/RELB/TRIM27/RORA/RORC/CCL19/XCL1/SIPA1/SLAMF1/SLC11A1/SPN/STAT3/STAT6/SUPT6H/SYK/ADAM17/MAP3K7/TAP1/TAP2/TRA/TRAV6/TRB/TRGJ2/TRGV1/TRGV2/TRGV3/TRGV4/TRGV5/TRGV8/TRGV9/TRGV10/TRGV11/TEC/TFE3/TFRC/TGFB1/TLR4/TNF/TNFAIP3/TNFRSF1B/TP53BP1/TRAF2/TRAF6/TSC1/TNFSF4/TXK/UNG/WAS/LAT2/NSD2/ZAP70/ZP3/FZD5/TFEB/KDM5D/EOMES/STX7/SKAP1/TNFSF13/TNFRSF14/RIPK2/FADD/TNFRSF11A/IL18R1/CD84/BCL10/TNFSF18/RNF8/EXO1/IL1RL1/SLC22A13/IL27RA/SOCS5/THOC1/PARP3/IL18BP/EBI3/LILRB2/TCIRG1/CLEC4M/BTN3A3/RAPGEF3/MAD2L2/CLEC10A/BATF/CXCL13/CD226/TNFSF13B/MASP2/TRAF3IP2/LILRB1/ARID5A/MALT1/LILRB5/LILRB4/LILRA1/LILRB3/LILRA3/RIPK3/RAPGEF4/BTN3A2/BTN3A1/CD160/DUSP10/TREX1/ZBTB1/KLRK1/PAXIP1/SWAP70/RAP1GAP2/RFTN1/ICOSLG/SIRT1/TNFRSF13B/CLCF1/IL17RA/PRKD2/TMEM98/LAT/LAMP3/SIT1/TNFRSF21/IGKV1-5/IGHV8-51-1/IGHV7-81/IGHV6-1/IGHV5-10-1/IGHV5-51/IGHV4-38-2/IGHV4-61/IGHV4-59/IGHV4-39/IGHV4-34/IGHV4-31/IGHV4-30-4/IGHV4-28/IGHV4-4/IGHV3-38-3/IGHV3-74/IGHV3-73/IGHV3-72/IGHV3-66/IGHV3-64/IGHV3-53/IGHV3-49/IGHV3-48/IGHV3-43/IGHV3-38/IGHV3-35/IGHV3-33/IGHV3-30/IGHV3-23/IGHV3-21/IGHV3-20/IGHV3-16/IGHV3-15/IGHV3-13/IGHV3-11/IGHV3-9/IGHV3-7/IGHV2-70/IGHV2-26/IGHV2-5/IGHV1-69-2/IGHV1-38-4/IGHV1-69/IGHV1-58/IGHV1-45/IGHV1-24/IGHV1-18/IGHV1-8/IGHV1-3/IGHJ1/IGHD1-1/TRDV3/TRDV2/TRDV1/TRDJ1/TRDD1/TRDC/TRBV30/TRBV29-1/TRBV28/TRBV27/TRBV25-1/TRBV24-1/TRBV23-1/TRBV20-1/TRBV19/TRBV18/TRBV17/TRBV16/TRBV14/TRBV13/TRBV12-5/TRBV12-4/TRBV12-3/TRBV11-3/TRBV11-2/TRBV11-1/TRBV10-3/TRBV10-2/TRBV10-1/TRBV9/TRBV7-9/TRBV7-8/TRBV7-7/TRBV7-6/TRBV7-4/TRBV7-3/TRBV7-2/TRBV7-1/TRBV6-9/TRBV6-8/TRBV6-7/TRBV6-6/TRBV6-5/TRBV6-4/TRBV6-3/TRBV6-1/TRBV5-8/TRBV5-7/TRBV5-6/TRBV5-5/TRBV5-4/TRBV5-3/TRBV5-1/TRBV4-3/TRBV4-2/TRBV4-1/TRBV3-1/TRBV2/TRBJ2-7/TRBJ2-6/TRBJ2-5/TRBJ2-4/TRBJ2-3/TRBJ2-2/TRBJ2-1/TRBJ1-6/TRBJ1-5/TRBJ1-4/TRBJ1-3/TRBJ1-2/TRBJ1-1/TRBD1/TRBC2/TRBC1/TRAV41/TRAV40/TRAV39/TRAV38-2DV8/TRAV38-1/TRAV36DV7/TRAV35/TRAV34/TRAV30/TRAV29DV5/TRAV27/TRAV26-2/TRAV26-1/TRAV25/TRAV24/TRAV23DV6/TRAV22/TRAV21/TRAV20/TRAV19/TRAV18/TRAV17/TRAV16/TRAV14DV4/TRAV13-2/TRAV13-1/TRAV12-3/TRAV12-2/TRAV12-1/TRAV10/TRAV9-2/TRAV9-1/TRAV8-6/TRAV8-4/TRAV8-3/TRAV8-2/TRAV8-1/TRAV7/TRAV5/TRAV4/TRAV3/TRAV2/TRAV1-2/TRAV1-1/TRAJ42/TRAJ31/TRAJ3/IGLV11-55/IGLV10-54/IGLV9-49/IGLV8-61/IGLV7-46/IGLV7-43/IGLV6-57/IGLV5-52/IGLV5-48/IGLV5-45/IGLV5-39/IGLV5-37/IGLV4-69/IGLV4-60/IGLV4-3/IGLV3-32/IGLV3-27/IGLV3-25/IGLV3-22/IGLV3-21/IGLV3-19/IGLV3-16/IGLV3-12/IGLV3-10/IGLV3-9/IGLV3-1/IGLV2-33/IGLV2-23/IGLV2-18/IGLV2-14/IGLV2-11/IGLV2-8/IGLV1-51/IGLV1-50/IGLV1-47/IGLV1-44/IGLV1-40/IGLV1-36/IGLJ1/IGLC7/IGKV6D-41/IGKV6D-21/IGKV3D-20/IGKV3D-15/IGKV3D-11/IGKV3D-7/IGKV2D-30/IGKV2D-29/IGKV2D-28/IGKV2D-26/IGKV2D-24/IGKV1D-43/IGKV1D-42/IGKV1D-39/IGKV1D-37/IGKV1D-33/IGKV1D-17/IGKV1D-13/IGKV1D-12/IGKV1D-8/IGKV6-21/IGKV5-2/IGKV4-1/IGKV3-20/IGKV3-15/IGKV3-7/IGKV2-40/IGKV2-30/IGKV2-29/IGKV2-28/IGKV2-24/IGKV1-39/IGKV1-37/IGKV1-27/IGKV1-17/IGKV1-16/IGKV1-13/IGKV1-12/IGKV1-9/IGKV1-8/IGKV1-6/IGKJ1/DBNL/PYCARD/CD274/TBX21/CD209/IL21R/TRAT1/CLEC4A/FOXP3/EXOSC3/ZBTB7B/KMT5B/LEF1/C1RL/TLR8/IL23A/CYRIB/CD244/ERAP1/IL20RB/TREM2/TREM1/SASH3/SHLD2/RC3H2/TRPM4/LAX1/LIME1/RNF125/SUSD4/RIF1/OTUB1/PAG1/IFNK/DUSP22/HMCES/OTUD7B/ENTPD7/MCOLN1/IGHV7-4-1/IGHV3-30-3/AICDA/SLAMF7/HMHB1/BACH2/MYO1G/SAMSN1/NOD2/ERAP2/CARD9/SEMA4A/NFKBIZ/DCLRE1C/CLEC7A/LILRA6/VTCN1/BTNL8/ATAD5/ZC3H12A/PDCD1LG2/PRR7/NDFIP1/FBXO38/UNC93B1/FCRL4/JAM3/FCAMR/SLA2/LOXL3/CRACR2A/KMT5C/NFKBID/HAVCR2/ORAI1/IGHV3-30-5/SIGLEC10/KLHL6/RSAD2/CLEC6A/IL17F/NLRP3/SLAMF6/TNFRSF13C/SH2D1B/EXOSC6/SLC15A4/RNF19B/RC3H1/IL23R/SHLD1/BTLA/DENND1B/RNF168/CLEC4C/APLF/UNC13D/GAPT/MARCHF8/IL27/MCOLN2/ZNF683/IL4I1/NLRP10/CLEC4D/IFNE/CLEC4G/THEMIS/IGHV1OR15-1/MIR21/EIF2AK4/TARM1/SCART1/CCR2/C17orf99/IGLL5/MICA/KLRC4-KLRK1/IGHV2-70D/IGHV1-69D/IGHV3-64D/IGHV3-43D/SHLD3,734
GO:0002251,organ or tissue specific immune response,APOA4/CAMP/DEFA1/DEFA3/DEFA4/DEFA5/DEFA6/DEFB1/GP2/FFAR3/FFAR2/IL4/IL6/IL6R/LTF/NOS2/PIGR/PLA2G1B/RNASE2/RNASE3/RPL39/XCL1/H2BC8/H2BC7/H2BC6/H2BC10/H2BC4/H2BC21/H2BC11/CD160/TREX1/H2BC12L/OTUD7B/NOD2/RAB17/H2BC12/BPIFB1/IFNLR1/IFNL2/DEFA1B/C17orf99,41
