"","memory CD4+ T cells","memory CD8+ T cells","naive CD4+ T cells","naive CD8+ T cells","NKT","MAIT","Tregs","NK","Plasma cells","pre-B cells","cDC","pDC","Monocytes","Basophils","Neutrophils"
"RASAL3_XBP1_XCL1",0.22,0.94,0.06,0.09,4.38,0.84,0.32,1.61,0,0,0,0,0.06,0,0
"TBX21_XCL1",0.07,1,0,0,4.25,0.59,0,2.03,0,0,0,0,0,0,0
"DOCK8_RASAL3_XCL1",0.19,0.79,0.06,0.09,4.11,0.84,0.32,1.3,0,0,0,0,0.06,0,0
"AKT1_ATF2_CD160",0.04,1.08,0,0,4.11,0.42,0.16,2.18,0.42,0,0.58,0.36,0.04,0,0
"SIPA1_XBP1_XCL1",0.07,0.71,0,0.09,4.11,0.67,0.16,1.93,0,0,0,0,0.1,0,0
"BAX_GATA3_XCL1",0.11,0.48,0.03,0,3.97,0.67,0.32,0.94,0,0,0.58,0,0.02,0,0
"PTPRC_TBX21_XCL1",0.07,1,0,0,3.97,0.59,0,1.99,0,0,0,0,0,0,0
"IFNG_PSEN1",0.26,1.13,0.14,0,3.84,0.08,0.81,1.81,0,0,0,0.73,0.18,0,0.07
"RAC1_RASAL3_XCL1",0.22,0.84,0.06,0,3.84,0.84,0.48,1.51,0,0,0,0,0.06,0,0.04
"DDX17_EOMES_XCL1",0.15,1,0,0,3.84,0.42,0.16,1.45,0,0,0,0,0.02,0,0
"GATA3_KMT2A_XCL1",0.37,0.6,0.11,0,3.84,0.67,0.32,0.94,0,0,0.58,0,0.02,0,0
"GATA3_XCL1_YY1",0.26,0.54,0.08,0,3.84,0.59,0.32,0.86,0,0,0,0,0.02,0,0
"G6PD_XBP1_XCL1",0.07,0.35,0,0.09,3.84,0.5,0.16,1.18,0,0,0,0,0.06,0,0.04
"EOMES_XBP1_XCL1",0.11,0.62,0,0,3.7,0.33,0.16,1.31,0,0,0,0,0,0,0
"GATA3_RASAL3_XCL1",0.15,0.51,0.03,0,3.7,0.84,0.48,0.72,0,0,0,0,0,0,0
"LAMP1_XBP1_XCL1",0.11,0.73,0.03,0,3.7,0.67,0.16,1.55,0,0,0,0,0.12,0,0.04
"IL7R_XBP1_XCL1",0.45,1.14,0.06,0.19,3.7,1.51,0.16,1.01,0,0,0.58,0,0.02,0,0
"NCKAP1L_XBP1_XCL1",0.11,0.67,0.03,0,3.7,0.59,0.32,1.37,0,0,0.58,0,0.1,0,0.04
"GNLY_IFNG_PSEN1",0.04,0.87,0.06,0,3.7,0,0,1.74,0,0,0,0.36,0.06,0,0.07
"IFNG_PSEN1_PTPRC",0.26,1.13,0.14,0,3.7,0.08,0.81,1.79,0,0,0,0.73,0.18,0,0.07
"EOMES_JUNB_XCL1",0.11,0.89,0,0,3.56,0.42,0.16,1.17,0,0,0,0,0.02,0,0
"BAX_ITGB7_XCL1",0.22,0.62,0,0,3.56,0.67,0.16,1.12,0,0,0,0,0.06,0,0
"BAX_RASAL3_XCL1",0.19,0.78,0.03,0.09,3.56,0.67,0.32,1.3,0,0,0,0,0.02,0,0
"GATA3_PYHIN1_XCL1",0.15,0.51,0,0,3.56,0.84,0.48,0.92,0,0,0,0,0,0,0
"TNFAIP3_XBP1_XCL1",0.11,0.46,0.06,0.19,3.56,0.92,0.32,1.41,0,0,0.58,0,0.04,0,0
"BAX_XCL1_ZFP36L1",0.11,0.78,0,0.09,3.56,0.5,0.16,1.26,0,0.04,0.58,0.36,0.04,0,0.04
"GATA3_ITGB7_XCL1",0.15,0.49,0.03,0,3.42,0.59,0.16,0.81,0,0,0,0,0,0,0
"EOMES_METTL3_TBX21",0.04,1.03,0,0,3.42,0.75,0,0.93,0,0,1.16,0,0.04,0,0
"CD55_XCL1",0.15,0.51,0,0.09,3.29,0.67,0.16,1.25,0,0.04,0.58,0,0.2,0,0.04
"GATA3_STAT1_XCL1",0.26,0.29,0.06,0,3.29,0.42,0.32,0.62,0,0,0,0,0.02,0,0
"IL7R_PLEK_XCL1",0.11,1.32,0,0,3.29,0.75,0,0.78,0,0,0.58,0,0.04,0,0.04
"TBX21_XBP1_XCL1",0.07,0.6,0,0,3.29,0.42,0,1.66,0,0,0,0,0,0,0
"HSP90AB1_IFNG_PSEN1",0.26,0.97,0.11,0,3.29,0.08,0.64,1.47,0,0,0,0.73,0.16,0,0.04
"IFNG_PSEN1_TMBIM6",0.22,0.95,0.08,0,3.29,0.08,0.81,1.63,0,0,0,0.73,0.16,0,0.04
"CITED2_EOMES_NOTCH1",0.15,1.1,0.03,0.09,3.29,0.33,0.64,1.69,0.83,0,0,0.36,0.14,0,0.04
"GATA3_PLEKHA1_XCL1",0.11,0.37,0.06,0,3.15,0.33,0.32,0.69,0,0,0.58,0,0.02,0,0
"BAX_EOMES_XCL1",0.07,0.57,0,0,3.01,0.33,0.16,0.88,0,0,0,0,0.02,0,0
"GATA3_IL7R_XCL1",0.48,0.73,0.11,0,3.01,1.17,0.32,0.73,0,0,0.58,0,0.02,0,0
"IL7R_RASGRP1_XCL1",0.37,1.13,0.06,0.28,3.01,1.17,0,0.68,0,0,0,0,0,0,0
"JUN_XBP1_XCL1",0.04,0.51,0,0.09,3.01,0.5,0.16,1.29,0,0,0,0,0.06,0,0
"ANXA2_IFNG_PSEN1",0.15,0.84,0.03,0,3.01,0.08,0.32,1.47,0,0,0,0.73,0.14,0,0.04
"IFNG_NOP53_PSEN1",0.22,1.02,0.14,0,3.01,0.08,0.81,1.49,0,0,0,0.73,0.14,0,0.04
"EOMES_ITGB7_XCL1",0.11,0.54,0,0,2.88,0.33,0.16,0.76,0,0,0,0,0,0,0
"DHX36_EOMES_XCL1",0.07,0.63,0,0,2.88,0.33,0.16,0.8,0,0,0,0,0.02,0,0
"ITGB7_RASAL3_XCL1",0.15,0.73,0,0,2.88,0.75,0.16,1.01,0,0,0,0,0.04,0,0.04
"IFNG_PARK7_PSEN1",0.19,0.78,0.08,0,2.88,0.08,0.48,1.34,0,0,0,0.73,0.18,0,0
"IL7R_RASAL3_XCL1",0.34,1.1,0.06,0.09,2.74,1.25,0.32,0.62,0,0,0,0,0.02,0,0
"NCK2_XBP1_XCL1",0.34,0.83,0.06,0.19,2.74,0.92,0.32,0.88,0,0,0.58,0,0.02,0,0
"EOMES_RASAL3_XCL1",0.07,0.67,0,0,2.6,0.25,0.16,0.81,0,0,0,0,0,0,0
"DUSP1_EOMES_XCL1",0.07,0.63,0,0,2.6,0.42,0,0.76,0,0,0,0,0.02,0,0
"RASAL3_TBX21_XCL1",0.04,0.56,0,0,2.6,0.33,0,1.02,0,0,0,0,0,0,0
"GATA3_TBX21_XCL1",0.07,0.37,0,0,2.6,0.33,0,0.69,0,0,0,0,0,0,0
"BAX_TBX21_XCL1",0,0.56,0,0,2.6,0.25,0,1.1,0,0,0,0,0,0,0
"CD320_IFNG_TUSC2",0.04,0.83,0,0,2.6,0.08,0.48,1.35,0,0,0.58,0.36,0,0,0.04
"BAX_IL7R_XCL1",0.45,0.87,0.06,0.19,2.47,1.17,0.16,0.72,0,0,0.58,0,0.04,0,0
"DBNL_IFNG_PSEN1",0.07,0.54,0.11,0,2.47,0,0.64,0.88,0,0,0,0.73,0.18,0,0
"TNFSF14_XCL1",0.07,0.51,0,0,2.33,0.67,0,0.88,0,0,0.58,0,0.02,0,0
"TGFBR2_XCL1",0.19,0.56,0.06,0.19,2.33,0.5,0.32,0.89,0,0,0.58,0,0.1,0,0
"EOMES_GATA3_XCL1",0.04,0.37,0,0,2.33,0.25,0.16,0.66,0,0,0,0,0.02,0,0
"IL7R_ITGB7_XCL1",0.37,0.9,0.03,0.09,2.33,1.09,0,0.6,0,0,0,0,0.02,0,0
"ITGB7_TBX21_XCL1",0.04,0.48,0,0,2.33,0.33,0,1.06,0,0,0,0,0,0,0
"IFNG_PSEN1_SASH3",0.11,0.49,0.06,0,2.33,0.08,0.64,0.96,0,0,0,0.36,0.04,0,0.04
"HSPA1A_TBX21_TFRC",0.26,0.73,0.03,0,2.33,0.25,0.32,0.61,0.83,0.17,0.58,0.73,0.24,0,0.04
"PTPN1_XBP1_XCL1",0.26,0.44,0,0.09,2.33,0.59,0.16,0.96,0,0,0,0,0.06,0,0
"EOMES_IL7R_XCL1",0.15,0.81,0,0,2.19,0.5,0,0.57,0,0,0,0,0.02,0,0
"TNFSF14_XCL1_XCL2",0,0.38,0,0,2.19,0.42,0,0.74,0,0,0.58,0,0,0,0
"PLCL2_XBP1_XCL1",0.19,0.44,0.03,0.19,2.19,0.17,0.16,0.81,0,0,0.58,0,0.02,0,0
"BAX_LYN_XCL1",0,0.13,0,0,2.19,0,0,0.94,0,0,0.58,0.36,0.1,0,0.04
"HAVCR2_IL7R_KLRC1",0,0.24,0,0,2.19,0.08,0,0.42,0,0,0,0,0.02,0,0
"IL7R_TBX21_XCL1",0.07,0.73,0,0,2.19,0.59,0,0.45,0,0,0,0,0,0,0
"HAVCR2_KLRC1_TCF7",0,0.24,0,0,2.19,0.08,0.16,1.04,0,0,0,0,0,0,0
"CD55_XBP1_XCL1",0.07,0.29,0,0.09,2.19,0.42,0,1.06,0,0,0.58,0,0.1,0,0.04
"CD81_TNFSF14_XCL1",0.04,0.49,0,0,2.19,0.67,0,0.76,0,0,0.58,0,0,0,0
"BAX_TNFRSF1B_XCL1",0.07,0.78,0,0,2.19,0.42,0.32,0.74,0,0,0,0.36,0.1,0,0.04
"FLOT2_GATA3_XCL1",0.04,0.3,0,0,2.05,0.42,0,0.37,0,0,0,0,0.02,0,0
"CEBPB_FASLG_HIF1A",0.15,0.83,0,0,2.05,0.59,0.32,0.81,0,0,0.58,0,0.24,0,0.04
"TGFBR2_XBP1_XCL1",0.04,0.27,0.03,0.09,2.05,0.42,0.32,0.7,0,0,0.58,0,0.08,0,0
"STAT3_TBX21_XCL1",0.07,0.49,0,0,2.05,0.17,0,0.82,0,0,0,0,0,0,0
"BAX_CD55_XCL1",0.07,0.21,0,0.09,2.05,0.33,0.16,0.73,0,0.04,0.58,0,0.1,0,0.04
"AKIRIN1_FLOT2_IFNG",0.11,0.84,0,0.09,2.05,0.17,0.48,0.76,0,0.13,0.58,0.36,0.08,0,0
"BAX_NCK2_XCL1",0.19,0.68,0.06,0.19,2.05,0.67,0.32,0.66,0,0,0.58,0,0.02,0,0
"ADAM10_IFNG_PSEN1",0.07,0.43,0.06,0,2.05,0.08,0.64,0.68,0,0,0,0.36,0.1,0,0.04
"EOMES_MAPK1_XCL1",0,0.57,0,0,1.92,0.08,0.16,0.8,0,0,0,0,0.02,0,0
"CD55_ITGB7_XCL1",0.04,0.25,0,0,1.92,0.17,0,0.58,0,0,0,0,0.08,0,0
"CD55_GATA3_XCL1",0.07,0.19,0,0,1.92,0.5,0.16,0.62,0,0,0.58,0,0.02,0,0
"CD81_TGFBR2_XCL1",0.11,0.51,0.03,0,1.92,0.5,0.16,0.77,0,0,0.58,0,0.04,0,0
"FASLG_FNIP1_HIF1A",0.04,0.49,0.03,0,1.92,0.17,0.48,0.5,0,0,0.58,0,0.1,0,0
"CD55_TNFAIP3_XCL1",0.07,0.21,0,0.09,1.92,0.5,0,0.57,0,0.04,0.58,0,0.06,0,0
"IL27RA_TBX21_XCL1",0.04,0.4,0,0,1.92,0.17,0,0.76,0,0,0,0,0,0,0
"KLRC1_NFATC2_PPP3CB",0.07,0.41,0.06,0.09,1.92,0.42,0,0.96,0,0.04,0.58,0,0,0,0
"BAX_PLCG2_XCL1",0,0.25,0,0,1.92,0,0,0.56,0,0.04,0,0.36,0.08,0,0
"EOMES_TBX21_XCL1",0.04,0.46,0,0,1.78,0.25,0,0.76,0,0,0,0,0,0,0
"RASAL3_TNFSF14_XCL1",0.07,0.32,0,0,1.78,0.42,0,0.46,0,0,0,0,0,0,0
"CITED2_GATA3_XCL1",0.22,0.35,0.03,0,1.78,0.25,0.16,0.5,0,0,0.58,0,0.02,0,0
"GATA3_TGFBR1_XCL1",0.11,0.24,0,0,1.78,0.17,0.16,0.36,0,0,0.58,0,0,0,0
"CD55_IL7R_XCL1",0.15,0.48,0,0.09,1.78,0.67,0.16,0.48,0,0,0.58,0,0.04,0,0
"CCL5_CRKL_KLRK1",0,0.76,0,0.28,1.78,0.42,0.16,0.68,0,0,0,0.36,0,0,0
"TNFSF14_XBP1_XCL1",0.04,0.29,0,0,1.78,0.5,0,0.73,0,0,0.58,0,0.02,0,0
"DDX17_TNFSF14_XCL1",0.07,0.48,0,0,1.78,0.33,0,0.81,0,0,0.58,0,0.02,0,0
"BAX_JAK3_XCL1",0.19,0.33,0,0.09,1.78,0.25,0.16,0.49,0,0.04,0,0,0.06,0,0.04
"CD320_IFNG_PSEN1",0.07,0.51,0.03,0,1.78,0.08,0.48,0.58,0,0,0,0.36,0.04,0,0.04
"GATA3_STK11_XCL1",0.15,0.25,0,0,1.64,0.25,0.32,0.39,0,0,0,0,0,0,0
"GATA3_TGFBR2_XCL1",0.11,0.24,0.03,0,1.64,0.42,0.32,0.36,0,0,0.58,0,0,0,0
"GATA3_PDGFD_XCL1",0,0.13,0,0,1.64,0.08,0,0.32,0,0,0,0,0,0,0
"FASLG_HIF1A_TGFBR2",0.11,0.4,0.06,0,1.64,0.17,0.48,0.72,0,0,0,0,0.08,0,0.04
"BATF_TBX21_XCL1",0.04,0.3,0,0,1.64,0.08,0,0.52,0,0,0,0,0,0,0
"ANO6_XBP1_XCL1",0,0.13,0,0,1.64,0.17,0.16,0.24,0,0,0,0,0.06,0,0
"CD55_TBX21_XCL1",0,0.22,0,0,1.64,0.17,0,0.48,0,0,0,0,0,0,0
"BAX_TGFBR2_XCL1",0.07,0.33,0.03,0.09,1.64,0.33,0.16,0.45,0,0,0.58,0,0.04,0,0
"FKBP1A_TGFBR2_XCL1",0.04,0.25,0,0.09,1.64,0.5,0.32,0.5,0,0,0,0,0.1,0,0
"AP3D1_BAX_XCL1",0.07,0.32,0,0.19,1.64,0.08,0,0.56,0,0.04,0,0,0.06,0,0
"FASLG_STAT3_ZC3H12A",0,0.48,0,0,1.64,0.33,0.32,0.66,0,0,0.58,0,0.08,0,0
"CITED2_EOMES_XCL1",0.11,0.37,0,0,1.51,0.25,0.16,0.49,0,0,0,0,0.02,0,0
"ITGB7_TNFSF14_XCL1",0.04,0.17,0,0,1.51,0.59,0,0.42,0,0,0,0,0,0,0
"GATA3_TNFSF14_XCL1",0.04,0.17,0,0,1.51,0.25,0,0.35,0,0,0.58,0,0,0,0
"GATA3_LGALS9_PDGFD",0,0.24,0,0,1.51,0,0,0.61,0.42,0,0.58,0,0,0,0
"TBX21_TNFSF14_XCL1",0,0.19,0,0,1.51,0.08,0,0.49,0,0,0,0,0,0,0
"BAX_TNFSF14_XCL1",0.04,0.32,0,0,1.51,0.5,0,0.48,0,0,0.58,0,0,0,0
"TGFBR2_XCL1_YY1",0.15,0.27,0.03,0.09,1.51,0.25,0.16,0.4,0,0,0,0,0.1,0,0
"IFNG_PSEN1_RNF41",0.07,0.11,0.03,0,1.51,0,0,0.2,0,0,0,0,0.06,0,0
"PIK3CG_XCL1",0.11,0.41,0,0.09,1.37,0.25,0.16,0.62,0,0,0,0.36,0.1,0,0
"GATA3_STAT6_XCL1",0.04,0.24,0,0,1.37,0.25,0.16,0.42,0,0,0,0,0,0,0
"FASLG_TNFAIP3_ZC3H12A",0,0.38,0,0,1.37,0.25,0.16,0.46,0,0,0.58,0,0,0,0.04
"CD55_EOMES_XCL1",0,0.22,0,0,1.37,0.08,0,0.57,0,0,0,0,0.02,0,0
"EOMES_TGFBR2_XCL1",0.04,0.27,0,0,1.37,0.17,0.16,0.29,0,0,0,0,0,0,0
"CD55_CXCR4_XCL1",0.04,0.35,0,0.09,1.37,0.42,0.16,0.54,0,0.04,0.58,0,0.12,0,0
"CD55_XCL1_ZBTB1",0.07,0.16,0,0,1.37,0.08,0,0.36,0,0,0.58,0,0.1,0,0
"CD55_RASAL3_XCL1",0,0.29,0,0,1.37,0.42,0.16,0.7,0,0,0,0,0.06,0,0
"RASAL3_TGFBR2_XCL1",0.07,0.32,0.03,0,1.37,0.42,0.32,0.48,0,0,0,0,0.04,0,0
"FASLG_HIF1A_TNFSF14",0.04,0.43,0,0,1.37,0.33,0,0.44,0,0,0,0,0.08,0,0
"FASLG_HIF1A_STX4",0.19,0.56,0,0,1.37,0.33,0.16,0.48,0,0,0,0,0.1,0,0
"FASLG_TNFSF14_ZC3H12A",0,0.29,0,0,1.37,0.25,0,0.32,0,0,0,0,0.02,0,0
"ANO6_KLRC1_NCKAP1L",0.04,0.3,0,0,1.37,0.33,0,0.61,0.42,0.04,0,0,0,0,0
"RC3H1_TBX21_XCL1",0,0.22,0,0,1.37,0,0,0.54,0,0,0,0,0,0,0
"HIF1A_IL7R_XCL1",0.19,0.32,0.03,0,1.37,0.33,0,0.25,0,0,0,0,0.04,0,0
"CD55_CYBC1_XCL1",0.07,0.22,0,0,1.37,0.33,0.16,0.56,0,0,0,0,0.06,0,0
"PIK3CG_RPS19_XCL1",0.11,0.41,0,0.09,1.37,0.25,0.16,0.62,0,0,0,0.36,0.1,0,0
"CD55_PTPN6_XCL1",0.04,0.29,0,0.09,1.37,0.33,0,0.74,0,0.04,0,0,0.18,0,0
"BAX_XCL1_ZFPM1",0.07,0.24,0.03,0.09,1.37,0.25,0,0.54,0,0,0,0,0.04,0,0
"IFNG_ITCH_PSEN1",0.04,0.21,0.03,0,1.37,0.08,0.16,0.48,0,0,0,0.36,0.08,0,0.04
"EOMES_IGF1R_REST",0,0.27,0.03,0,1.37,0.5,0,0.62,0,0,0,0.36,0.08,0,0.04
"DHX36_EOMES_IL1RAP",0.11,0.46,0,0,1.37,0.33,0.16,0.45,0,0,0,0,0.1,0,0
"ADAM8_FADD_ZC3H12A",0.11,0.33,0,0,1.23,0.17,0,0.33,0.42,0.17,0,0.36,0.26,0,0
"ITGB7_TGFBR2_XCL1",0.07,0.29,0,0.09,1.23,0.33,0.16,0.41,0,0,0,0,0.04,0,0
