fromNode,toNode,weight
ABCB9,TOMM70,0.720569894
ABCB9,TRBV6-4,0.754852784
ABI1,AKIRIN1,0.764280559
ABI1,ARL8B,0.730899577
ABI1,ARRB2,0.750166966
ABI1,CD164,0.747314871
ABI1,CD244,0.768317002
ABI1,CRKL,0.728417592
ABI1,CYRIB,0.713537983
ABI1,EIF2B1,0.75758717
ABI1,EIF2B3,0.807580602
ABI1,EIF2B4,0.779345876
ABI1,EXOSC6,0.767315214
ABI1,EXOSC9,0.717171583
ABI1,GLO1,0.827431385
ABI1,GPR108,0.710045521
ABI1,GPS2,0.714973798
ABI1,HSP90AB1,0.711293233
ABI1,IFNGR1,0.700991425
ABI1,IL12B,0.718295689
ABI1,IL2RG,0.766608872
ABI1,LTA,0.731965412
ABI1,MDK,-0.716135658
ABI1,MFNG,0.77129945
ABI1,N4BP2L2,0.826351183
ABI1,NUP85,0.715338496
ABI1,PPP3CA,0.779806932
ABI1,RAB29,0.797250651
ABI1,RAB5B,0.910001144
ABI1,RIPOR2,0.701490274
ABI1,RNF168,0.905058944
ABI1,SAR1B,0.774144979
ABI1,SERPINE1,-0.850362995
ABI1,SH2D1A,0.793058485
ABI1,SHLD2,0.708697698
ABI1,SIRT2,0.73561836
ABI1,SNX4,0.75107902
ABI1,TNFRSF14,-0.726508673
ABI1,TRAV20,0.719248489
ABI1,TRIM38,0.70655783
ABI1,TRIM59,0.862117667
ABI1,TUSC2,0.852629797
ABI1,XRCC6,0.845054885
ABI1,YTHDF2,0.746561939
ABL1,BATF3,-0.73948889
ABL1,CCR6,0.769261843
ABL1,EFNB1,0.732375375
ABL1,FLT4,0.763428063
ABL1,GRAMD4,0.707829881
ABL1,H2BC21,0.713447118
ABL1,HIPK2,0.742049561
ABL1,ILRUN,0.701438793
ABL1,IRS2,0.703207589
ABL1,KCNQ1,0.730968037
ABL1,KMT5B,0.862745802
ABL1,MAP3K5,0.848531215
ABL1,MICOS10-NBL1,0.708819892
ABL1,NBL1,-0.706653933
ABL1,PLA2G5,0.750773366
ABL1,RAB11FIP2,0.772398573
ABL1,SCART1,0.742949396
ABL1,SH2D1B,0.764887402
ABL1,SIPA1,0.821000977
ABL1,VSIG4,0.722042913
ACE,ADAM15,0.80955309
ACE,APOD,0.737015596
ACE,CD320,0.711879623
ACE,CFB,0.766706149
ACE,CXCL6,0.854388306
ACE,DLG5,0.72783387
ACE,FCRLB,0.728073816
ACE,FZD8,0.867497418
ACE,HOXB6,0.903737651
ACE,HRH1,0.780251502
ACE,IFNA5,0.867497418
ACE,IFNG,0.866330308
ACE,ITGAL,0.721046088
ACE,KLRC4-KLRK1,0.814292265
ACE,KRT1,0.708598847
ACE,LYAR,0.736562282
ACE,NFATC2,0.739721136
ACE,OPRD1,0.768357478
ACE,OSTM1,0.806956536
ACE,PATZ1,0.704121284
ACE,PCID2,0.854625366
ACE,PTPRS,0.857606163
ACE,S1PR1,0.744369242
ACE,SASH3,0.730100722
ACE,SLC11A2,0.744628353
ACE,SOX11,0.701975707
ACE,TBX1,0.748631899
ACE,TRAV13-2,0.746978584
ACE,TRAV17,0.755111049
ACE,TRAV23DV6,0.75050578
ACE,TRAV25,0.818869781
ACE,TRAV35,0.892801859
ACE,TRAV38-1,0.819832991
ACE,TRAV38-2DV8,0.874188207
ACE,TRAV5,0.896959912
ACE,TRBV20-1,0.775946485
ACE,TRBV25-1,0.870225099
ACE,TRBV5-6,0.732632909
ACE,TRBV6-6,0.789107222
ACE,TRBV7-9,0.858993941
ACE,VAMP7,-0.746888614
ACE,VCAM1,0.732092652
ACE,WNT1,0.725793053
ACE,ZBTB7B,0.713784676
ACIN1,ADAM17,-0.720357809
ACIN1,AIMP1,-0.819603963
ACIN1,AMBRA1,0.724399424
ACIN1,ANXA1,-0.754298191
ACIN1,ANXA2,-0.727811273
ACIN1,APP,0.762589399
ACIN1,ARIH2,-0.80679629
ACIN1,ARL8B,-0.821945785
ACIN1,ARRB2,-0.788661998
ACIN1,ATP6AP1,-0.896446571
ACIN1,B2M,-0.703202023
ACIN1,BAG6,-0.797411547
ACIN1,BAP1,-0.785965778
ACIN1,CASP4,-0.717258455
ACIN1,CD164,-0.831713251
ACIN1,CD300LB,-0.759890272
ACIN1,CD46,-0.810372573
ACIN1,CD47,-0.715129532
ACIN1,CDKN1A,-0.707406634
ACIN1,CEBPB,0.771620831
ACIN1,CFD,0.824923549
ACIN1,CGAS,0.705666241
ACIN1,CNOT7,-0.720682723
ACIN1,CTNNB1,-0.856723176
ACIN1,CTNNBL1,-0.910419276
ACIN1,CYRIB,-0.837140624
ACIN1,DBNL,-0.781275552
ACIN1,DDOST,-0.72737634
ACIN1,DDT,0.752245188
ACIN1,DDX21,-0.768593702
ACIN1,DNAJB9,-0.8560645
ACIN1,EEF2,0.73519986
ACIN1,EIF2B1,-0.874497553
ACIN1,EIF2B4,-0.751492354
ACIN1,EPOR,0.829954591
ACIN1,EXOSC6,-0.799885326
ACIN1,EZR,-0.894619104
ACIN1,FKBP1A,-0.840026484
ACIN1,FYB1,-0.784249884
ACIN1,GPC3,0.72443204
ACIN1,GPR108,-0.751068638
ACIN1,GPR137B,0.700798069
ACIN1,GPR174,0.779533646
ACIN1,HAVCR2,-0.707209001
ACIN1,HCLS1,-0.898641344
ACIN1,HIF1A,-0.740616339
ACIN1,HLA-A,0.720732193
ACIN1,HLA-E,-0.911744513
ACIN1,HMGB1,-0.847299544
ACIN1,HSF1,-0.750768684
ACIN1,HSP90AB1,-0.737741839
ACIN1,HSPA1A,0.909111682
ACIN1,IFNAR1,-0.795421344
ACIN1,IFNGR1,-0.706320665
ACIN1,IGLV2-33,0.722918664
ACIN1,IKZF3,0.928205637
ACIN1,IL17RA,0.797119848
ACIN1,IL1RAP,-0.769940832
ACIN1,IL23R,-0.714158427
ACIN1,IL7R,0.738697792
ACIN1,IRAK1BP1,-0.715958372
ACIN1,IRF8,-0.71855452
ACIN1,JAML,-0.795102782
ACIN1,JUNB,-0.781098068
ACIN1,KDELR1,0.71115247
ACIN1,KIF5B,-0.913662362
ACIN1,KLF4,-0.714276535
ACIN1,LCP1,-0.842052869
ACIN1,LFNG,0.703443902
ACIN1,LSM14A,-0.708069064
ACIN1,LTA,-0.756718471
ACIN1,LYL1,0.745439655
ACIN1,MAP3K1,-0.834751315
ACIN1,MAPK14,0.710325261
ACIN1,MCM3AP,0.706143482
ACIN1,MCOLN1,-0.710331491
ACIN1,MICB,0.818536262
ACIN1,MLLT3,-0.753547577
ACIN1,MNDA,-0.708938036
ACIN1,MSN,-0.799724857
ACIN1,MYC,0.707068756
ACIN1,MYSM1,0.784611461
ACIN1,NCSTN,-0.82834964
ACIN1,NFIL3,-0.816893679
ACIN1,NLRP12,0.809413007
ACIN1,NOP53,0.719214325
ACIN1,ORAI1,0.700761915
ACIN1,OTUB1,-0.734067
ACIN1,P2RX4,-0.856758538
ACIN1,PDCD2,0.851166113
ACIN1,PLD4,-0.841862472
ACIN1,PMAIP1,-0.783314797
ACIN1,PPIA,0.83595544
ACIN1,PPP3CA,-0.889052327
ACIN1,PRDX3,-0.755851446
ACIN1,PRKCB,-0.737545711
ACIN1,PSMB4,-0.806667425
ACIN1,PSPC1,-0.760926681
ACIN1,PTAFR,-0.852774008
ACIN1,PTGDR2,0.773135787
ACIN1,RAB32,0.748452222
ACIN1,RAC2,0.720362007
ACIN1,RBCK1,0.82726636
ACIN1,RBPJ,-0.798787318
ACIN1,REST,0.796354547
ACIN1,RHOG,0.759351536
ACIN1,RIPOR2,-0.841393603
ACIN1,RO60,-0.704267341
ACIN1,RPL22,0.703497639
ACIN1,RPL30,0.819998803
ACIN1,RPS17,0.750386299
ACIN1,RPS3,0.702883831
ACIN1,RRAS,0.710987353
ACIN1,SBDS,-0.812896117
ACIN1,SELENOS,-0.836382171
ACIN1,SIRT2,-0.740178375
ACIN1,SLC25A5,-0.750338112
ACIN1,SLC40A1,-0.738049575
ACIN1,SNAP23,-0.746019673
ACIN1,SNX4,-0.777432103
ACIN1,SPHK1,-0.700333539
ACIN1,SPN,0.860131503
ACIN1,SYVN1,0.827828777
ACIN1,TFRC,-0.739433088
ACIN1,TMEM106A,0.703260514
ACIN1,TNFSF12,0.743462979
ACIN1,TNK2,0.737774253
ACIN1,TRAJ42,0.713632823
ACIN1,TRGV1,0.824336621
ACIN1,TRGV8,0.748511261
ACIN1,VSIR,-0.853382774
ACIN1,WASF2,-0.72897255
ACIN1,XCL2,0.765480035
ACIN1,XIAP,0.883077708
ACIN1,XRCC5,-0.79633233
ACIN1,XRCC6,-0.714294807
ACIN1,YTHDF2,-0.723804875
ACIN1,ZC3H8,-0.735074527
ACIN1,ZC3HAV1,-0.710901382
ACKR2,CTNNBIP1,0.775574936
ACKR2,FKBP1B,0.726936548
ACKR2,MYO18A,0.781880722
ACKR2,PMS2P6,-0.823233339
ACKR2,PRKCQ,0.71941062
ACKR2,RAG1,0.719811872
ACKR2,RARRES2,0.730333157
ACKR2,TACR1,0.715267437
ACKR2,TGFBR1,0.77562492
ACKR2,TRAV30,0.72975994
ACKR2,TRBJ2-5,0.735057341
ACKR3,APOBEC3G,0.755662399
ACKR3,BTNL10,0.706783896
ACKR3,CCL14,0.755026418
ACKR3,CCL18,0.750770504
ACKR3,CTSC,0.813111677
ACKR3,DEFA1,0.709468589
ACKR3,FLT1,0.842071872
ACKR3,FOXC1,0.706783896
ACKR3,IGKV2-28,0.706712841
ACKR3,IL1RN,0.763913307
ACKR3,PYHIN1,0.734947856
ACKR3,RAG2,0.706783896
ACKR3,RAP1GAP,0.700886171
ACKR3,RUNX2,-0.748122897
ACKR3,SCG2,0.706783896
ACKR3,SELE,0.729917292
ACKR3,SLAMF7,0.787615516
ACKR3,SOX9,0.706783896
ACKR3,SPPL3,-0.729576093
ACKR3,STOML2,0.743807243
ACKR3,TARM1,0.71311243
ACKR3,THY1,0.706783896
ACKR3,TNF,0.734874008
ACKR3,TNFAIP6,0.760463851
ACKR3,TRAV29DV5,0.780467295
ACKR3,TRAV7,0.706783896
ACKR3,TRBJ2-1,-0.723916527
ACKR3,TRGC2,0.715199888
ACKR3,WDFY4,-0.813755257
ACKR4,CCDC88B,-0.736383238
ACKR4,CD109,0.859135101
ACKR4,CLEC4E,-0.771800104
ACKR4,CSF1R,0.719130499
ACKR4,CYSLTR1,0.721756085
ACKR4,FCGR2A,0.756123187
ACKR4,IL11,-0.71178197
ACKR4,IPO7,0.749190651
ACKR4,METTL14,0.745061512
ACKR4,ORM2,-0.726397721
ACKR4,PDGFD,-0.706445856
ACKR4,POU2F2,0.780663009
ACKR4,RASSF2,0.756378909
ACKR4,SPHK2,0.737903698
ACKR4,TASL,0.725445898
ACKR4,TLR4,0.820056189
ACKR4,TRBV6-7,0.748605172
ACOD1,ARTN,0.949965064
ACOD1,ATF2,-0.739850417
ACOD1,BMP6,0.820924356
ACOD1,CACNA1C,0.721647649
ACOD1,CCL26,0.949965064
ACOD1,CD5L,0.949965064
ACOD1,CHRNB2,0.783399862
ACOD1,CRK,0.755346386
ACOD1,CSF2,0.949965064
ACOD1,CST9LP1,0.949965064
ACOD1,CTSF,0.844959519
ACOD1,DCAF15,0.702453589
ACOD1,DMBT1,0.949965064
ACOD1,EDA,0.737739078
ACOD1,EFNB1,0.893886361
ACOD1,ETS1,0.719337768
ACOD1,GATA6,0.910091578
ACOD1,GFI1B,0.859426343
ACOD1,GPER1,0.788618012
ACOD1,H2BC7,0.707939898
ACOD1,H2BC8,0.822710326
ACOD1,H4C3,0.757461839
ACOD1,HCST,0.721917436
ACOD1,HECTD1,0.733518396
ACOD1,IL12B,0.730852578
ACOD1,IL36B,0.949965064
ACOD1,IL9R,0.783377979
ACOD1,INAVA,0.723344522
ACOD1,KLF13,0.77439368
ACOD1,KLRC2,0.7143458
ACOD1,KMT5B,0.715262733
ACOD1,LGALS1,0.753092845
ACOD1,MEIS1,0.751276828
ACOD1,MICOS10-NBL1,0.872509463
ACOD1,MID2,0.786330706
ACOD1,MIF,0.806064855
ACOD1,MIR24-1,0.949965064
ACOD1,MT1G,0.949965064
ACOD1,PLA2G5,0.792971696
ACOD1,RBFOX2,0.817003428
ACOD1,RIPK1,0.84146812
ACOD1,ROMO1,0.73511332
ACOD1,RPL39,0.706712069
ACOD1,RPS14,0.954604883
ACOD1,RPS19,0.921912757
ACOD1,RPS24,0.775643111
ACOD1,SART1,0.804076011
ACOD1,SCRIB,0.87854953
ACOD1,SFRP2,0.896287044
ACOD1,SRF,0.732322033
ACOD1,TEC,0.751089509
ACOD1,TRAV9-1,0.940548535
ACOD1,TRDJ1,0.70784138
ACOD1,UMODL1,0.815292495
ACOD1,VAMP8,0.76324656
ACOD1,VPS26B,0.701239965
ACOD1,VSIG4,0.704879676
ACP6,C4BPA,0.735532778
ACP6,CBLB,0.729968639
ACP6,CCN3,0.75041134
ACP6,CDH26,0.742724342
ACP6,CREBBP,0.741451105
ACP6,DHPS,0.786550142
ACP6,EMILIN1,0.708778864
ACP6,GAL,0.739207279
ACP6,IL2RB,0.861706741
ACP6,IRGM,0.810458545
ACP6,JAM2,0.722140602
ACP6,KIR2DL1,0.800230445
ACP6,LGALS2,-0.703561663
ACP6,NLRC3,0.717627451
ACP6,PRSS2,0.741596646
ACP6,RNF8,0.749601644
ACP6,ROR2,0.701595246
ACP6,SP7,0.715196866
ACP6,TRBV11-2,0.708762893
ACTG1,ADGRE2,0.724986154
ACTG1,ADSS1,0.869950983
ACTG1,ARL11,0.811487611
ACTG1,BCL6B,0.720853616
ACTG1,BIRC3,-0.749290943
ACTG1,BMX,0.803106769
ACTG1,CCL28,-0.754562198
ACTG1,CD4,0.77048819
ACTG1,CHST4,0.760768342
ACTG1,CLEC2A,0.720853616
ACTG1,CXCR5,-0.740408816
ACTG1,DDX3X,-0.700082414
ACTG1,DOCK10,-0.714507781
ACTG1,FNIP1,-0.737975488
ACTG1,FTH1,-0.752326111
ACTG1,GFI1,0.731869507
ACTG1,GPR31,0.720853616
ACTG1,GSDMD,0.749444205
ACTG1,IFNK,0.720853616
ACTG1,IGLV2-33,0.700895689
ACTG1,LILRB3,0.808530928
ACTG1,LY9,-0.719847551
ACTG1,MAP3K8,-0.702092454
ACTG1,MIA3,-0.758022455
ACTG1,MIR708,0.720853616
ACTG1,MLLT3,-0.712467737
ACTG1,NFKBIL1,0.776034965
ACTG1,PHB2,0.801279462
ACTG1,PLK2,-0.725827665
ACTG1,PPP6C,0.704840825
ACTG1,RAC2,0.811914209
ACTG1,SECTM1,0.824968115
ACTG1,SPN,0.738926202
ACTG1,TFRC,-0.712784162
ACTG1,TLR8,0.803932176
ACTG1,TNFSF12,0.706536653
ACTG1,TRBV7-1,0.720853616
ACTG1,TRBV7-3,0.735929219
ACTG1,TRGV9,0.706840226
ACTG1,TTBK1,0.746549341
ACTG1,TWSG1,-0.706139121
ACTG1,VAMP2,-0.814544789
ACTG1,WDR1,0.78098672
ACTN1,ADAM9,0.745336255
ACTN1,ADAMDEC1,-0.717494254
ACTN1,ADARB1,0.746143255
ACTN1,ADGRG3,0.81623802
ACTN1,ALOX5,0.853898955
ACTN1,BPIFB1,0.735391053
ACTN1,BTNL8,0.7097851
ACTN1,CD99,-0.711509857
ACTN1,EDNRB,0.808806484
ACTN1,HK1,0.742766013
ACTN1,IDE,0.752677337
ACTN1,IGKV1D-33,0.738187049
ACTN1,IGLV5-48,0.739195471
ACTN1,IL2,0.729972461
ACTN1,JAK1,0.748826143
ACTN1,LILRB2,0.793823655
ACTN1,LMBR1L,0.858521837
ACTN1,PCK1,0.800881633
ACTN1,RNASET2,0.736522524
ACTN1,SH2B2,0.816381791
ACTN1,STAT3,0.724374665
ACTN1,TMEM131L,0.776704262
ACTN1,TNFRSF1B,0.790529256
ACTN1,TRAF3,0.737562534
ACTN1,TYRO3,0.728972829
ACTN1,USP15,0.808549138
ACTR2,APOBEC3G,-0.743187712
ACTR2,CCL5,-0.807556681
ACTR2,CD2,-0.75981229
ACTR2,CD3G,-0.71489193
ACTR2,CRK,-0.708601359
ACTR2,EGR1,-0.753606668
ACTR2,HLA-DOA,0.780802993
ACTR2,IGF1R,0.811811081
ACTR2,JARID2,0.794442287
ACTR2,LNPEP,0.78316601
ACTR2,MIR17HG,-0.735359051
ACTR2,NECTIN2,-0.715350771
ACTR2,PCBP2,-0.745307971
ACTR2,PPP2R3C,-0.836676035
ACTR2,PRR7,0.714732479
ACTR2,RAB29,-0.728772554
ACTR2,SASH3,-0.745568265
ACTR2,SKAP1,-0.722658644
ACTR2,SLC7A1,-0.777565333
ACTR2,TET2,0.865894748
ACTR2,TLR3,-0.794203719
ACTR2,TUSC2,-0.71618451
ACTR3,ADORA1,-0.71002422
ACTR3,ARHGEF2,0.766007653
ACTR3,BCL3,-0.75067342
ACTR3,C1S,0.776145307
ACTR3,CARD8,0.758843549
ACTR3,CCR8,0.901516542
ACTR3,CITED1,-0.710924775
ACTR3,CRTAM,0.727237466
ACTR3,GBA,0.805006921
ACTR3,GCNT1,0.704637282
ACTR3,H2BC6,-0.70339039
ACTR3,ICOSLG,-0.800726373
ACTR3,IGLV8-61,-0.702343906
ACTR3,IL19,-0.712536969
ACTR3,IL1R1,-0.809257726
ACTR3,JAK3,0.718538945
ACTR3,MAP2K7,-0.728054337
ACTR3,MMP28,-0.713674106
ACTR3,NFKB2,-0.869556346
ACTR3,NLRC4,0.705225017
ACTR3,NR4A3,-0.71163711
ACTR3,OXSR1,-0.796834813
ACTR3,PRKDC,-0.810805372
ACTR3,RNF185,0.772155745
ACTR3,SCART1,-0.735210092
ACTR3,SDHAF4,0.700173031
ACTR3,SLAMF7,0.714104315
ACTR3,SLC26A6,0.807706288
ACTR3,SLC7A5,-0.745695869
ACTR3,STING1,0.773057528
ACTR3,STX4,-0.779863412
ACTR3,TLR1,0.746987515
ACTR3,TRAV16,0.727048757
ACTR3,XCR1,0.703049414
ACVR1B,CAMK1D,0.72937534
ACVR1B,CCL3,-0.749394273
ACVR1B,CCL3L3,-0.772118384
ACVR1B,CCL4,-0.732046556
ACVR1B,CEBPA,0.789401222
ACVR1B,IGKV2D-24,-0.76606676
ACVR1B,IGLV10-54,-0.702560571
ACVR1B,IL6R,0.86495398
ACVR1B,LRRC17,0.801040334
ACVR1B,LYN,0.839119643
ACVR1B,MAP4K2,0.893645512
ACVR1B,NFKBIA,-0.793986774
ACVR1B,NFKBIZ,-0.791862859
ACVR1B,NOD2,0.748622497
ACVR1B,PLA2G2A,-0.721343344
ACVR1B,PSG6,0.714798552
ACVR1B,RARA,0.733206398
ACVR1B,SOCS5,0.753203119
ACVR1B,TNF,-0.742682595
ACVR1B,TNFRSF1B,0.732092014
ACVR1B,ZNF580,0.735875001
ACVR2A,ADAMTS13,-0.726711598
ACVR2A,ADGRB1,-0.711977175
ACVR2A,CAMK4,-0.746009047
ACVR2A,CIB1,-0.72171101
ACVR2A,CRTC3,-0.701376024
ACVR2A,CTSC,0.708514287
ACVR2A,EIF2B3,0.71316381
ACVR2A,FAS,0.770163226
ACVR2A,HAVCR1,-0.752860924
ACVR2A,IGHV7-4-1,-0.853749309
ACVR2A,IHH,-0.704980424
ACVR2A,IL10RB,0.718809661
ACVR2A,ISG20,-0.726962707
ACVR2A,MMP28,-0.75043377
ACVR2A,SAMHD1,0.717884905
ACVR2A,SIRT2,0.705629725
ACVR2A,SP2,0.728952092
ACVR2A,SP3,-0.75319435
ACVR2A,TIRAP,0.714587564
ADA,ADTRP,0.700905528
ADA,ANKRD54,0.724024228
ADA,CCR9,0.715574098
ADA,CIAPIN1,0.752645771
ADA,FN1,0.825996749
ADA,HELLS,0.746931842
ADA,IL12RB1,0.758325792
ADA,LCK,0.716149289
ADA,MKRN2,0.720804183
ADA,NDFIP1,0.703168036
ADA,NHEJ1,0.783945818
ADA,POLR3E,0.729224515
ADA,SELPLG,0.737271693
ADA,SFXN1,0.72605359
ADA,SH3PXD2A,0.776474407
ADA,SHLD2,0.719378706
ADA,SRP54,0.754964184
ADA,TNK1,0.701357157
ADA,TRBV18,0.71186517
ADA,TSC1,0.807546367
ADA,UBA5,0.773183006
ADAM10,ADARB1,0.762128013
ADAM10,ADCY7,0.734954741
ADAM10,CMTM3,-0.728861142
ADAM10,CRIP1,-0.781633244
ADAM10,CYBA,-0.845219286
ADAM10,FCGR2A,0.732947457
ADAM10,GCH1,-0.740946892
ADAM10,GOLPH3,-0.874023631
ADAM10,HK1,0.753322274
ADAM10,HSP90AA1,-0.768468157
ADAM10,IGLV5-48,0.728193793
ADAM10,IL6ST,0.871548496
ADAM10,INPP5D,0.763804384
ADAM10,JAK1,0.817315902
ADAM10,LGALS7B,0.743282082
ADAM10,MEF2C,0.712548741
ADAM10,MYH9,0.826855612
ADAM10,PARP3,-0.742156022
ADAM10,PIK3CB,0.732290697
ADAM10,PIK3R6,0.760456851
ADAM10,PRKAR1A,0.768859289
ADAM10,PSEN1,0.728024377
ADAM10,PTPRC,0.850601862
ADAM10,PUM1,0.801080403
ADAM10,PUM2,0.70395214
ADAM10,RC3H1,0.713672849
ADAM10,RPL39,-0.801847761
ADAM10,RPS17,-0.745662055
ADAM10,RPS19,-0.732711591
ADAM10,RPS24,-0.751600002
ADAM10,SLC8B1,0.70158911
ADAM10,SYK,0.767286472
ADAM10,TMBIM6,0.786058046
ADAM10,TNIP1,-0.737118723
ADAM10,TRBV10-2,0.840607056
ADAM10,TYROBP,-0.715327105
ADAM10,USP15,0.816822894
ADAM10,WASF2,0.715145767
ADAM10,YTHDF1,-0.762953819
ADAM15,APOD,0.788057599
ADAM15,BTNL3,0.721123712
ADAM15,CD34,-0.743273767
ADAM15,CFB,0.730253808
ADAM15,CLEC10A,-0.712942096
ADAM15,CLEC4C,0.719708325
ADAM15,DLG5,0.741888198
ADAM15,EPRS1,0.748151522
ADAM15,FAM3A,0.766860624
ADAM15,FCRLB,0.730710065
ADAM15,FZD8,0.775697991
ADAM15,HOXB6,0.812296496
ADAM15,HRH1,0.832705353
ADAM15,IFNA5,0.775697991
ADAM15,IFNL1,0.721514173
ADAM15,IRF5,0.708423269
ADAM15,KRT1,0.782860586
ADAM15,NFATC2,0.767307717
ADAM15,OPRD1,0.715472462
ADAM15,PIBF1,0.762463464
ADAM15,PTPRS,0.787060126
ADAM15,TBX1,0.716038555
ADAM15,TRAF3IP2,0.733584585
ADAM15,TRAV10,0.713026447
ADAM15,TRAV17,0.800713591
ADAM15,TRAV25,0.724054244
ADAM15,TRAV35,0.769982124
ADAM15,TRAV5,0.816015819
ADAM15,TRBV20-1,0.760415879
ADAM15,TRBV25-1,0.715980743
ADAM15,TRBV7-9,0.723565233
ADAM15,VCAM1,0.711038171
ADAM15,WNT1,0.721941741
ADAM17,ANXA2,0.735687401
ADAM17,APOBEC3C,0.773739355
ADAM17,B2M,0.750724816
ADAM17,BATF3,0.789531943
ADAM17,BIRC2,0.880051031
ADAM17,CALCOCO2,0.764298441
ADAM17,CASP4,0.70063217
ADAM17,CD109,0.75654214
ADAM17,CD164,0.731577404
ADAM17,CD46,0.908104412
ADAM17,CD47,0.730397268
ADAM17,CMTM3,-0.81450709
ADAM17,CYBA,-0.730055251
ADAM17,DDT,-0.775415418
ADAM17,EEF2,-0.745124833
ADAM17,EZR,0.723552839
ADAM17,FST,0.768221735
ADAM17,HAVCR2,0.703430668
ADAM17,HDAC5,0.770500645
ADAM17,HK1,0.708999573
ADAM17,HLA-A,-0.707645354
ADAM17,HLA-E,0.713632395
ADAM17,HSP90AA1,-0.728634821
ADAM17,IGSF6,0.703297503
ADAM17,IKZF3,-0.786913588
ADAM17,IL7R,-0.701734626
ADAM17,LCP1,0.823224847
ADAM17,MCM3AP,-0.744831908
ADAM17,MLLT3,0.724102638
ADAM17,MSN,0.864996253
ADAM17,MTURN,-0.722943043
ADAM17,NOP53,-0.834279205
ADAM17,OTUB1,0.770500446
ADAM17,PAK1,0.816752979
ADAM17,PIP5K1C,-0.7193165
ADAM17,PLCG2,-0.803079294
ADAM17,PTPRC,0.793100511
ADAM17,PTPRJ,-0.715395497
ADAM17,RAB10,0.763351301
ADAM17,RAB8B,0.755952388
ADAM17,RC3H1,0.743389727
ADAM17,RNF41,-0.754316884
ADAM17,RPL22,-0.823357936
ADAM17,RPL30,-0.844721523
ADAM17,RPL39,-0.716296434
ADAM17,RPS17,-0.818789322
ADAM17,SLC25A5,0.747761268
ADAM17,SNX27,0.75265588
ADAM17,STK10,0.741829387
ADAM17,SYVN1,-0.720483785
ADAM17,TAPBPL,0.771658269
ADAM17,TGFBR2,-0.765794597
ADAM17,THOC5,-0.727447837
ADAM17,TMBIM6,0.768253627
ADAM17,TNK2,-0.870825895
ADAM17,TRAV40,0.820435965
ADAM17,TRBV5-5,0.809881761
ADAM17,TYR,0.749982368
ADAM17,UBE2N,0.808494099
ADAM17,WASF2,0.805675262
ADAM17,XRCC5,0.794126876
ADAM17,ZNF683,0.815088699
ADAM8,C1QB,-0.738351709
ADAM8,CD247,0.716211332
ADAM8,CD5,0.730710056
ADAM8,CD86,-0.704686909
ADAM8,CEBPD,0.70267109
ADAM8,CREB1,0.728851382
ADAM8,CXCL17,0.726172337
ADAM8,DCAF1,0.720424605
ADAM8,DDX17,0.732900841
ADAM8,FFAR3,-0.710338329
ADAM8,GNL1,0.702784759
ADAM8,HLA-DMA,-0.764997331
ADAM8,HLA-DPA1,-0.712004305
ADAM8,HLA-DRA,-0.747521187
ADAM8,IL16,0.748546967
ADAM8,IL21R,0.804442853
ADAM8,IL4I1,-0.720393597
ADAM8,IRAK4,0.876434246
ADAM8,ITGA7,0.788966739
