from,to,strength,direction
C1QA,STAP1,0.828571429,0.856507937
C1QA,TREM2,0.857142857,0.967619048
C5AR1,FPR2,1,0.79047619
C5AR1,IFNG,0.914285714,0.663492063
C5AR1,TYROBP,0.771428571,0.589206349
CX3CR1,IFNG,0.857142857,0.592539683
CX3CR1,TREM2,0.923809524,0.712698413
FPR2,CX3CR1,0.847619048,0.579365079
FPR2,TREM2,0.952380952,0.685714286
IFNG,TREM2,0.980952381,0.515873016
ITGAM,AIF1,0.857142857,0.647936508
ITGAM,C5AR1,0.99047619,0.582539683
ITGAM,ITGB2,1,0.885714286
ITGB2,C1QA,0.876190476,0.639206349
ITGB2,TYROBP,0.704761905,0.824920635
ITGB2,TREM2,0.904761905,0.739365079
JAK2,ATM,0.828571429,0.591746032
JAK2,IFNG,0.876190476,0.756825397
PTPRC,ATM,0.980952381,0.715873016
PTPRC,IFNG,0.828571429,0.776825397
PTPRC,ITGB2,1,0.561904762
PTPRC,JAK2,1,0.628571429
PTPRC,TYROBP,0.857142857,0.911269841
PTPRC,STAP1,1,0.876190476
CCL3,IFNG,1,0.633333333
TYROBP,ATM,0.895238095,0.662222222
TYROBP,TREM2,1,1
STAP1,TYROBP,0.942857143,0.58031746
BCL2,ITPKB,0.771428571,0.733412698
BCL2,SOS1,0.961904762,0.600793651
TNFRSF17,TNFRSF13B,1,0.5
TNFRSF17,CCR2,0.99047619,0.564285714
FLT3,FOXP3,0.99047619,0.547619048
NCKAP1L,CD74,0.876190476,0.918412698
NCKAP1L,FLT3,0.857142857,0.823492063
NCKAP1L,IL2RA,0.819047619,0.988571429
NCKAP1L,P2RX7,1,0.976190476
NCKAP1L,SH2B3,1,0.947619048
NCKAP1L,TNFSF13B,0.761904762,0.994444444
NCKAP1L,CCR2,0.876190476,0.891269841
IL2RA,LAT,0.752380952,0.67031746
ITPKB,TNFSF13B,0.885714286,0.779047619
JAK3,CORO1A,1,0.60952381
JAK3,LAT,1,0.928571429
JAK3,FOXP3,0.980952381,0.885714286
JAK3,GPR174,1,0.514285714
P2RX7,TNFSF13B,0.895238095,0.817142857
RPS6,JAK3,0.885714286,0.51452381
RPS6,SOS1,0.942857143,0.513809524
RPS6,TNFSF13B,0.828571429,0.77
RPS6,PPP2R3C,0.933333333,0.583809524
SOS1,TNFRSF17,0.704761905,0.51031746
SOS1,CD74,0.99047619,0.803174603
SOS1,PIK3CD,0.838095238,0.830952381
SOS1,SH2B3,0.99047619,0.778571429
SOS1,CORO1A,0.876190476,0.71968254
SOS1,GPR174,0.961904762,0.778095238
SH2B3,IL2RA,0.847619048,0.712857143
SH2B3,PIK3CD,0.961904762,0.648571429
SH2B3,DOCK10,0.99047619,0.938095238
SH2B3,CCR2,0.828571429,0.665873016
TNFSF13B,IL2RA,0.923809524,0.533333333
TNFSF13B,TNFRSF13B,0.866666667,0.589206349
CORO1A,NCKAP1L,0.914285714,0.63015873
CORO1A,PIK3CD,1,0.695238095
CORO1A,TNFRSF13B,0.79047619,0.834126984
CORO1A,SIT1,0.99047619,0.629365079
CORO1A,FOXP3,1,0.976190476
CORO1A,GAPT,0.80952381,0.700952381
TNFRSF13B,TNFRSF17,1,0.5
TNFRSF13B,FOXP3,0.933333333,0.760634921
TNFRSF13B,GAPT,1,0.514285714
LAT,PIK3CD,1,0.619047619
LAT,TNFSF13B,0.99047619,0.574603175
SIT1,TNFRSF17,0.771428571,0.636904762
SIT1,TNFSF13B,0.980952381,0.952380952
SIT1,GPR174,1,0.70952381
SIT1,CCR2,0.742857143,0.911904762
FOXP3,CD74,0.876190476,0.548730159
PPP2R3C,CD74,0.876190476,0.714761905
GPR174,FLT3,0.723809524,0.901031746
GPR174,NCKAP1L,0.923809524,0.707063492
GPR174,TNFRSF13B,0.79047619,0.716269841
GPR174,DOCK10,0.857142857,0.879047619
GAPT,CD74,0.99047619,0.53968254
GAPT,FLT3,0.876190476,0.708730159
GAPT,IL2RA,0.866666667,0.583968254
GAPT,DOCK10,0.952380952,0.822222222
CCR2,GAPT,1,0.752380952
IL15RA,ZNF683,1,0.823809524
PIK3CD,PTPRC,1,0.50952381
PIK3CD,SLAMF1,0.942857143,0.977380952
PTPRC,IL15RA,0.971428571,0.561904762
PTPRC,SLAMF1,1,0.976190476
SLAMF1,ZNF683,0.952380952,0.865079365
SP3,SLAMF1,1,0.980952381
PIK3CD,SH2B3,1,0.5
PIK3CD,CCR2,1,0.50952381
CD74,NCKAP1L,0.961904762,0.630952381
CD74,SOS1,0.819047619,0.63984127
CD74,FOXP3,0.971428571,0.838888889
CD74,PPP2R3C,0.704761905,0.622777778
CD74,GAPT,1,0.695238095
NCKAP1L,FOXP3,0.961904762,0.873015873
NCKAP1L,DOCK10,1,0.857142857
NCKAP1L,GAPT,0.923809524,0.643968254
SOS1,BCL2,0.980952381,0.577777778
SOS1,NCKAP1L,0.866666667,0.659047619
SOS1,DOCK10,1,0.752380952
GAPT,TNFRSF13B,1,0.861904762
FCGR3A,JAK2,1,0.595238095
HLA-E,SLAMF1,1,0.514285714
JAK2,HLA-E,0.99047619,0.688095238
JAK2,SLAMF1,1,0.704761905
SLAMF1,TYK2,0.79047619,0.637857143
FCGR1A,FCGR2B,1,0.523809524
FCGR1A,FCGR3A,1,0.561904762
FCGR1A,HLA-E,0.971428571,0.514285714
FCGR2B,FCGR3A,0.847619048,0.557619048
IGHG1,FCGR2B,0.819047619,0.500793651
ATF2,AP3B1,1,0.80952381
ITK,AP3B1,0.733333333,0.961349206
ITK,ZNF683,1,0.604761905
JAK2,RASAL3,1,0.523809524
TYK2,RASAL3,1,0.523809524
A2M,SERPING1,0.904761905,0.5
A2M,MFAP4,1,0.504761905
SERPING1,A2M,0.904761905,0.5
MFAP4,FCN3,0.723809524,0.516666667
AP1G1,CRK,1,0.795238095
AP1G1,NCKAP1L,0.761904762,0.742380952
AP1G1,HLA-E,0.771428571,0.832539683
AP1G1,PTPN6,0.780952381,0.938253968
AP1G1,TYROBP,0.923809524,0.69047619
AGER,GZMB,0.80952381,0.926984127
AGER,HLA-E,1,0.99047619
AGER,IL7R,0.923809524,0.765396825
AGER,ITGAM,0.857142857,0.743333333
AGER,PTPRC,0.838095238,0.679047619
AGER,LILRB1,0.80952381,0.890634921
AGER,CORO1A,0.847619048,0.923174603
AZU1,ELANE,1,0.904761905
AZU1,CLEC12B,0.961904762,0.8
CD1A,CD1B,0.942857143,0.539365079
CD1B,CX3CR1,0.952380952,0.515873016
CD1C,CD1A,0.80952381,0.787301587
CD1C,CD1E,1,0.723809524
CD1E,CD1A,1,0.728571429
CD1E,CD1B,1,0.923809524
CEBPG,LEP,0.876190476,0.697936508
CEBPG,TUBB,0.99047619,0.728571429
CRK,HLA-DRB1,0.733333333,0.895555556
CRK,HLA-E,0.714285714,0.842063492
CRK,IGHG1,0.933333333,0.705952381
CX3CR1,CORO1A,0.838095238,0.743809524
FCGR1A,TYROBP,1,0.685714286
FCGR2B,ITGAM,0.980952381,0.526984127
FCGR2B,LILRB1,0.847619048,0.741904762
FCGR3A,FCGR1A,1,0.566666667
FCGR3A,HLA-F,0.704761905,0.936190476
FCGR3A,TYROBP,0.780952381,0.778412698
FCGR3A,HAVCR2,1,0.628571429
FCGR3A,SLAMF6,0.704761905,0.924920635
FCGR3A,NCR3,0.885714286,0.895555556
GFER,PTPN6,0.971428571,0.66031746
GFER,NECTIN2,0.885714286,0.673333333
GFER,CORO1A,0.980952381,0.698412698
GZMB,CX3CR1,0.8,0.679365079
GZMB,NCR1,0.819047619,0.566984127
GZMB,LILRB1,0.733333333,0.931111111
GZMB,IL21,0.838095238,0.64968254
GZMM,CORO1A,0.971428571,0.703174603
NCKAP1L,AGER,0.847619048,0.566984127
NCKAP1L,CX3CR1,0.742857143,0.96984127
NCKAP1L,SH2D1A,1,0.980952381
NCKAP1L,PTPRC,1,0.985714286
NCKAP1L,SPI1,0.99047619,0.901587302
NCKAP1L,LILRB1,0.914285714,0.980952381
HLA-A,HLA-B,1,0.928571429
HLA-A,HLA-F,0.99047619,0.985714286
HLA-B,HLA-E,1,1
HLA-B,HLA-F,1,0.961904762
HLA-B,HLA-H,1,0.985714286
HLA-DRA,CD1C,0.942857143,0.735238095
HLA-DRA,HLA-B,0.714285714,0.614761905
HLA-DRA,HLA-DRB1,1,1
HLA-E,HLA-DRB1,1,0.647619048
HLA-F,HLA-E,0.895238095,0.612380952
HLA-H,HLA-E,0.704761905,0.865555556
IGHG1,STAP1,0.866666667,0.885079365
IGHG1,SLAMF6,1,0.628571429
IL7R,NKG7,0.847619048,0.763492063
IL12RB1,CORO1A,0.99047619,0.885714286
ITGAM,AZU1,0.752380952,0.523492063
ITGAM,SH2D1A,0.980952381,0.806349206
KLRC2,KLRC3,1,0.952380952
KLRD1,KLRC3,0.733333333,0.894285714
KLRD1,NKG7,1,1
KLRD1,KLRC4,0.80952381,0.655555556
KLRD1,NCR1,1,0.980952381
KLRD1,KLRC4-KLRK1,0.704761905,0.698571429
SH2D1A,IL12RB1,0.80952381,0.96031746
SH2D1A,NKG7,1,0.761904762
SH2D1A,CRTAM,0.933333333,0.980952381
SH2D1A,IL21,0.819047619,0.831428571
SH2D1A,SLAMF6,0.961904762,0.501587302
NKG7,GZMB,1,0.885714286
NKG7,IL12RB1,0.752380952,0.827142857
P2RX7,ITGAM,0.980952381,0.753968254
PTPRC,IL7R,1,0.971428571
PTPRC,SH2D1A,1,0.980952381
PTPRC,CD226,1,1
PTPRC,SLAMF6,0.942857143,1
PTPRC,NCR3,0.733333333,1
NECTIN2,HLA-DRA,0.752380952,0.544603175
SPI1,ITGAM,1,0.942857143
SPI1,PTPN6,1,0.995238095
SPI1,PTPRC,0.980952381,0.7
SPI1,LILRB1,0.923809524,0.852380952
SPI1,CORO1A,1,0.828571429
TYROBP,FCGR2B,0.780952381,0.552222222
TYROBP,HLA-DRA,0.961904762,0.863492063
TYROBP,ITGAM,0.933333333,0.633333333
TYROBP,SH2D1A,0.723809524,0.843809524
TYROBP,SPI1,1,0.514285714
TYROBP,LILRB1,0.819047619,0.605555556
TYROBP,IL21,0.733333333,0.82
KLRC4,KLRK1,1,0.885714286
KLRC4,KLRC4-KLRK1,0.99047619,0.846031746
NCR1,KIR3DL1,0.761904762,0.730793651
CD226,LILRB1,0.771428571,0.72984127
LILRB1,IL12RB1,0.961904762,0.979365079
LILRB1,IL21,0.961904762,0.653968254
KLRK1,KLRC3,0.771428571,0.544761905
KLRK1,CLEC12B,0.866666667,0.597460317
STAP1,CORO1A,0.952380952,0.780952381
CRTAM,IGHG1,0.704761905,0.644920635
CRTAM,KLRD1,0.961904762,0.795238095
CRTAM,NCR1,0.733333333,0.93984127
CRTAM,SLAMF7,0.714285714,0.767936508
CRTAM,KLRC4-KLRK1,0.80952381,0.805079365
SLAMF7,IGHG1,1,0.666666667
SLAMF7,IL21,1,0.60952381
IL21,CX3CR1,0.847619048,0.54952381
HAVCR2,FCGR1A,0.714285714,0.527857143
HAVCR2,NCKAP1L,1,0.847619048
HAVCR2,SH2D1A,0.838095238,0.947619048
HAVCR2,TYROBP,0.99047619,0.784126984
SLAMF6,HLA-E,0.752380952,0.674920635
SLAMF6,IL7R,0.704761905,0.50031746
SLAMF6,STAP1,0.771428571,0.924761905
SLAMF6,NCR3,0.933333333,0.878095238
NCR3,CD1A,0.723809524,0.904285714
NCR3,PTPN6,0.723809524,0.831111111
NCR3,CORO1A,0.952380952,0.912698413
NCR3,STAP1,1,0.819047619
KLRC4-KLRK1,KLRK1,0.99047619,0.69047619
KLRC4-KLRK1,CLEC12B,0.742857143,0.848253968
CD1B,CD1A,0.828571429,0.543809524
CD1C,P2RX7,0.885714286,0.811587302
NCKAP1L,HLA-DRA,0.952380952,0.775396825
HLA-A,NCKAP1L,0.914285714,1
HLA-B,NCKAP1L,0.742857143,0.93
HLA-B,HLA-DRA,0.99047619,0.96984127
HLA-DRA,FCGR2B,0.99047619,0.952380952
HLA-E,FCGR2B,0.914285714,0.988888889
HLA-E,NCKAP1L,0.961904762,0.963492063
HLA-E,HLA-F,0.942857143,0.846984127
HLA-E,PTPRC,0.847619048,0.962222222
HLA-F,IL12RB1,0.961904762,0.96984127
HLA-F,LILRB1,0.752380952,0.932063492
IL12RB1,KLRD1,1,0.933333333
KLRD1,HLA-DRB1,0.895238095,0.784920635
P2RX7,IL7R,0.752380952,0.706984127
P2RX7,KLRD1,0.79047619,0.68968254
PTPRC,CD1A,0.828571429,0.814761905
PTPRC,IL12RB1,0.895238095,0.584444444
PTPRC,KLRD1,0.914285714,0.502857143
LILRB1,FCGR2B,1,0.961904762
CD28,CD40LG,0.80952381,0.944444444
CD28,CCR6,0.857142857,0.977777778
CD28,PTPRC,1,0.914285714
CD28,FOXP3,1,0.942857143
CD40LG,CCR6,1,0.885714286
CD40LG,IL10,0.961904762,0.584126984
MSH6,MSH2,1,0.961904762
MSH6,UNG,0.914285714,0.980952381
MSH6,RIF1,1,0.761904762
MSH2,SUPT6H,0.752380952,0.586111111
MSH2,ATAD5,1,0.89047619
NBN,CCR6,0.857142857,0.54047619
NBN,EXOSC3,0.742857143,0.627301587
PTPRC,CD40LG,0.99047619,0.661904762
PTPRC,IL10,1,0.985714286
PTPRC,NBN,0.99047619,0.667460317
PTPRC,FOXP3,0.704761905,0.848095238
SUPT6H,UNG,0.819047619,0.618888889
SUPT6H,ATAD5,0.933333333,0.66031746
UNG,NBN,0.952380952,0.754920635
UNG,EXOSC3,0.8,0.875555556
NSD2,FOXP3,0.704761905,0.888888889
SHLD2,FOXP3,0.838095238,0.91047619
SHLD2,EXOSC3,0.942857143,0.595238095
SHLD2,ATAD5,0.914285714,0.503174603
RIF1,SUPT6H,1,0.8
RIF1,NSD2,0.828571429,0.822698413
RIF1,SHLD2,1,0.852380952
RIF1,ATAD5,0.914285714,0.745238095
ATAD5,NSD2,1,0.885714286
ATAD5,EXOSC3,0.742857143,0.847063492
CCR6,NBN,0.819047619,0.50031746
IL10,CD40LG,0.933333333,0.540634921
SUPT6H,MSH2,0.80952381,0.587936508
SHLD2,NBN,0.704761905,0.720793651
RIF1,NBN,0.723809524,0.925
ATAD5,UNG,0.819047619,0.520793651
ATAD5,SHLD2,0.895238095,0.514285714
CREBBP,EP300,1,0.766666667
CREBBP,MATR3,0.857142857,0.503888889
CREBBP,SIN3A,1,0.904761905
EP300,PAK2,0.847619048,0.896349206
EP300,PLCG2,0.80952381,0.901111111
EP300,TYROBP,0.895238095,0.983333333
EP300,SIN3A,1,0.838095238
HCK,MNDA,0.885714286,0.61484127
HCK,PLCG2,0.857142857,0.563492063
HCK,SFPQ,0.780952381,0.575396825
HCK,TYROBP,0.895238095,0.741269841
KLRD1,PLCG2,0.838095238,0.91047619
KLRD1,TLR4,0.857142857,0.684444444
KLRD1,PYHIN1,0.914285714,0.526031746
MNDA,TLR4,0.942857143,0.896190476
MNDA,TYROBP,0.885714286,0.979365079
MNDA,NLRC4,1,0.885714286
PAK2,PRKDC,0.99047619,0.880952381
PAK2,MAP3K7,1,0.971428571
PRKDC,PLCG2,0.733333333,0.663333333
PRKDC,SFPQ,1,0.785714286
PRKDC,MAP3K7,0.819047619,0.644920635
TLR4,SFPQ,0.885714286,0.627936508
TLR4,TYROBP,0.847619048,0.836190476
TLR4,NLRC4,1,0.542857143
MATR3,KLRD1,0.828571429,0.641031746
MATR3,SFPQ,1,0.680952381
MATR3,TYROBP,0.780952381,0.935873016
MATR3,NLRC4,0.742857143,0.858888889
KLRK1,KLRD1,0.838095238,0.615873016
KLRK1,MATR3,0.838095238,0.512380952
KLRK1,PYHIN1,1,0.842857143
SIN3A,PAK2,0.971428571,0.734920635
SIN3A,TYROBP,0.761904762,0.690634921
NLRC4,PLCG2,0.742857143,0.715238095
NLRC4,TYROBP,0.80952381,0.729206349
CLEC6A,PAK2,0.952380952,0.725396825
PYHIN1,MNDA,0.761904762,0.601349206
PYHIN1,PLCG2,1,0.814285714
PYHIN1,NLRC4,0.8,0.866507937
PYHIN1,CLEC6A,0.895238095,0.59047619
KLRC4-KLRK1,KLRC3,0.733333333,0.666428571
KLRC4-KLRK1,KLRD1,0.895238095,0.728095238
CREBBP,MAP3K7,0.771428571,0.877539683
KLRD1,CLEC6A,0.961904762,0.823015873
PLCG2,TYROBP,0.942857143,0.523809524
KLRK1,PLCG2,1,0.785714286
KLRK1,KLRC4-KLRK1,1,0.547619048
CLEC6A,TYROBP,1,0.638095238
BTK,TLR4,0.733333333,0.75
BTK,TLR7,0.857142857,0.988888889
BTK,TREM2,0.933333333,0.832698413
BTK,SCIMP,1,0.738095238
CD14,CD300A,1,0.666666667
CD14,TLR7,0.895238095,0.729365079
CTSS,ACOD1,0.771428571,0.62015873
GFI1,IRF1,1,0.714285714
GFI1,TREM2,0.847619048,0.857460317
GPS2,GFI1,0.847619048,0.593650794
GPS2,DHX58,0.742857143,0.925555556
HSPA1A,HSPA1B,1,0.995238095
IFI35,OASL,1,0.828571429
IFI35,DHX58,1,0.99047619
IRF1,RIPK2,0.819047619,0.671904762
IRF1,DDX60,0.8,0.616984127
IRF1,ACOD1,1,0.866666667
IRF4,BTK,0.761904762,0.614285714
IRF4,GFI1,0.99047619,0.704761905
OAS1,IFI35,0.8,0.809047619
OAS1,OAS3,1,0.866666667
OAS3,DDX60,0.847619048,0.842222222
OAS3,IFIH1,0.914285714,0.846984127
OAS3,RSAD2,0.819047619,0.892380952
PDPK1,PUM1,0.99047619,0.656349206
PDPK1,PJA2,0.99047619,0.661904762
PDPK1,DHX58,1,0.961904762
PLCG2,BTK,0.99047619,0.520634921
PLCG2,GPS2,0.847619048,0.673650794
PLCG2,IRF4,1,0.561904762
PLCG2,RIPK2,0.714285714,0.795555556
PLCG2,HAVCR2,0.780952381,0.50952381
PLCG2,FCRL3,0.99047619,0.658730159
TLR4,TLR7,0.933333333,0.645079365
AP3B1,PJA2,1,0.99047619
OASL,DDX60,0.866666667,0.621111111
RIPK2,DHX58,0.99047619,0.884126984
LRRC14,GPS2,0.980952381,0.630952381
LRRC14,RIPK2,0.961904762,0.757142857
LRRC14,CACTIN,1,0.761904762
LRRC14,DHX58,0.733333333,0.866666667
PUM1,AP3B1,0.942857143,0.865079365
PUM1,PUM2,0.866666667,0.773333333
PUM1,ANKRD17,1,0.966666667
PUM1,APPL1,1,0.919047619
CD300A,SLC15A3,0.857142857,0.568888889
CD300A,PIK3AP1,0.714285714,0.518888889
PUM2,IFI35,0.79047619,0.96031746
PUM2,ANKRD17,0.714285714,0.644761905
PUM2,APPL1,1,0.652380952
PUM2,LSM14A,1,0.919047619
PUM2,OTUD4,0.914285714,0.69047619
ANKRD17,UBQLN1,0.838095238,0.76015873
ANKRD17,OTUD4,0.99047619,0.76984127
ANKRD17,PIK3AP1,0.714285714,0.975555556
APPL1,IFI35,0.828571429,0.721428571
APPL1,UBQLN1,0.980952381,0.885714286
APPL1,DHX58,0.704761905,1
LSM14A,MAP3K7,0.742857143,0.781587302
LSM14A,DHX58,0.771428571,0.64968254
CLEC4E,TREM2,0.942857143,0.668253968
UBQLN1,GPS2,0.895238095,0.515555556
UBQLN1,AP3B1,0.847619048,0.54015873
UBQLN1,DHX58,0.942857143,0.80984127
TLR7,LILRA4,0.961904762,0.555873016
TLR7,CLEC4E,0.961904762,0.550793651
SLC15A3,IRF1,0.99047619,0.522222222
SLC15A3,DHX58,0.847619048,0.583650794
TLR8,CTSS,0.961904762,0.848412698
TLR8,TLR4,0.895238095,0.593174603
TLR8,TREM2,0.876190476,0.862857143
TREM2,CTSS,0.857142857,0.551587302
TREM2,SLC15A3,0.99047619,0.506349206
OTUD4,MAP3K7,0.952380952,0.928571429
OTUD4,AP3B1,0.819047619,0.753650794
OTUD4,TREM2,0.752380952,0.962222222
OTUD4,DDX60,1,0.761904762
CACTIN,CTSS,0.771428571,0.834285714
CACTIN,GPS2,1,0.523809524
CACTIN,PJA2,0.952380952,0.842857143
CACTIN,SLC15A3,0.828571429,0.843809524
IFIH1,IFI35,0.857142857,0.823492063
IFIH1,RSAD2,1,0.928571429
LRRC19,TRIM15,0.971428571,0.853968254
HAVCR2,BTK,0.980952381,0.511111111
HAVCR2,CD14,0.971428571,0.745714286
HAVCR2,TLR4,0.971428571,0.526984127
HAVCR2,RIPK2,0.8,0.616984127
HAVCR2,CD300A,1,0.723809524
HAVCR2,TREM2,1,0.980952381
HAVCR2,PIK3AP1,0.923809524,0.96031746
TRIM15,IRF1,0.780952381,0.530793651
TRIM15,OASL,1,0.733333333
RSAD2,OASL,1,0.857142857
RSAD2,DDX60,0.971428571,0.674603175
RSAD2,DHX58,0.780952381,0.60984127
FCRL3,GFI1,0.961904762,0.566666667
FCRL3,LILRA4,0.952380952,0.697619048
FCRL3,TLR8,0.80952381,0.713333333
PIK3AP1,RIPK2,0.723809524,0.564761905
PIK3AP1,TLR8,0.80952381,0.520793651
SCIMP,TLR8,0.980952381,0.638095238
SCIMP,FCRL3,0.857142857,0.543333333
SCIMP,PIK3AP1,0.847619048,0.76
ACOD1,TREM2,0.723809524,0.695555556
KLRC3,KLRK1,0.752380952,0.545396825
KLRD1,KLRK1,0.971428571,0.53015873
TYROBP,PLCG2,0.876190476,0.560952381
KLRC4,KLRD1,0.723809524,0.600952381
BTK,UBQLN1,0.904761905,0.780952381
BTK,HAVCR2,0.980952381,0.503174603
GFI1,GPS2,0.828571429,0.597460317
GFI1,FCRL3,0.952380952,0.545714286
GPS2,PDPK1,0.733333333,0.847142857
GPS2,LRRC14,1,0.50952381
GPS2,CACTIN,1,0.547619048
IFI35,OAS1,1,0.99047619
IFI35,APPL1,0.904761905,0.586666667
IFI35,RSAD2,1,0.985714286
IRF1,CTSS,0.866666667,0.657936508
IRF1,IFI35,0.99047619,0.847619048
IRF1,OTUD4,0.80952381,0.71984127
IRF1,HAVCR2,0.723809524,0.559206349
IRF4,IFI35,0.714285714,0.834920635
OAS1,RSAD2,0.761904762,0.766349206
MAP3K7,UBQLN1,0.79047619,0.63031746
TLR4,TREM2,0.714285714,0.797619048
TLR4,HAVCR2,1,0.547619048
AP3B1,UBQLN1,0.971428571,0.5
RIPK2,PDPK1,0.79047619,0.748571429
PJA2,PDPK1,0.99047619,0.885714286
APPL1,TLR7,0.923809524,0.715873016
APPL1,OTUD4,0.99047619,0.628571429
UBQLN1,RIPK2,0.752380952,0.798095238
TLR7,RIPK2,0.761904762,0.53047619
TLR7,RSAD2,0.923809524,0.886031746
TLR8,RSAD2,0.704761905,0.899206349
TLR8,PIK3AP1,0.752380952,0.517142857
OTUD4,PDPK1,0.99047619,0.817460317
OTUD4,UBQLN1,0.742857143,0.796190476
OTUD4,CACTIN,0.771428571,0.692698413
OTUD4,RSAD2,0.80952381,0.810952381
CACTIN,PDPK1,0.704761905,0.813174603
LRRC19,PIK3AP1,0.942857143,1
FCRL3,TREM2,0.752380952,0.797777778
SCIMP,GFI1,0.780952381,0.841349206
DEFA4,RNASE3,0.971428571,0.971428571
DEFA5,DEFA6,0.99047619,0.628571429
RNASE2,RNASE3,1,0.966666667
H2BC8,H2BC7,1,0.795238095
H2BC8,H2BC6,0.819047619,0.53031746
H2BC8,H2BC21,0.971428571,0.746031746
H2BC6,H2BC4,0.980952381,0.688095238
H2BC6,H2BC21,0.980952381,0.822222222
H2BC6,H2BC12,0.838095238,0.807777778
H2BC4,H2BC21,0.914285714,0.67968254
H2BC4,H2BC12,1,0.79047619
AP1G1,NKG7,0.895238095,0.99047619
AP1G1,CD226,0.704761905,0.915555556
AP1G1,CORO1A,0.704761905,0.906666667
FCGR3A,LILRB1,1,0.59047619
FCGR3A,KLRK1,0.752380952,0.645396825
GZMB,HLA-E,0.733333333,0.793333333
KLRD1,GZMB,0.733333333,0.871111111
LEP,NCR1,0.733333333,1
SH2D1A,CD226,1,0.738095238
SH2D1A,CORO1A,0.904761905,0.96984127
SH2D1A,HAVCR2,0.838095238,0.771587302
SH2D1A,NCR3,0.895238095,1
PTPN6,CLEC12B,0.980952381,0.658730159
CD226,KLRC4,0.733333333,0.616984127
CD226,SLAMF6,0.828571429,0.78
LILRB1,PTPN6,1,0.738095238
LILRB1,CORO1A,0.904761905,0.665396825
CORO1A,PTPN6,1,0.838095238
CORO1A,HAVCR2,0.79047619,0.580952381
KLRK1,HLA-F,0.733333333,0.934444444
CRTAM,HAVCR2,0.933333333,0.51031746
HAVCR2,HLA-B,0.819047619,0.828095238
HAVCR2,LILRB1,0.733333333,0.528015873
HAVCR2,IL21,0.80952381,0.725555556
SLAMF6,GFER,0.942857143,0.865396825
SLAMF6,NKG7,0.828571429,0.601111111
TUBB,GZMB,0.723809524,0.79984127
TUBB,NECTIN2,0.704761905,0.716666667
CLEC12B,HLA-E,0.828571429,0.826984127
ALOX5,SLAMF8,1,0.5
SLAMF1,SLAMF8,1,0.504761905
SLAMF8,ALOX5,1,0.5
AGER,C1R,0.866666667,0.896507937
AGER,CD40LG,0.714285714,0.512380952
AGER,TLR4,0.752380952,0.765873016
AGER,FOXP3,0.780952381,0.653492063
AGER,FCRL4,0.857142857,0.755238095
ALOX15,C6,0.961904762,0.544444444
ALOX15,KLHL6,0.971428571,0.814285714
TNFRSF17,IGHA1,0.723809524,0.901111111
TNFRSF17,IGHG1,0.885714286,0.773015873
TNFRSF17,JCHAIN,1,0.99047619
TNFRSF17,IGKC,1,0.79047619
TNFRSF17,IRF4,1,0.523809524
TNFRSF17,BTLA,0.723809524,0.576666667
BMX,NBN,0.714285714,0.921587302
BMX,PIK3CG,0.723809524,0.986666667
BMX,UNG,0.723809524,0.739365079
BMX,RIPK2,0.80952381,0.958888889
BTK,AGER,0.742857143,0.506825397
BTK,CD80,0.704761905,0.534761905
BTK,HLA-DMB,0.819047619,0.72952381
BTK,SASH3,0.895238095,0.715238095
